t,r,W_r,log_cosh_part,golay_weight_part,K2,K
0.05,0.04995837495787998,1.0000000294521758,0.9995836109005016,9.817391791860535e-07,0.9995845926396808,0.9997922747449496
0.07474747474747476,0.07460857583801615,1.000000728781678,0.9990701875602573,1.0869835984718237e-05,0.999081057396242,0.9995404230926541
0.0994949494949495,0.09916793601561175,1.0000071015721448,0.9983544681266204,5.978189032491878e-05,0.9984142500169454,0.9992068104336286
0.12424242424242425,0.12360707078573167,1.0000413935108146,0.9974378439877228,0.00022346123509874022,0.9976613052228217,0.9988299681241155
0.148989898989899,0.147897175046037,1.0001740305762261,0.9963220885104768,0.0006532702384843906,0.9969753587489613,0.9984865340849426
0.17373737373737375,0.1720101562211944,1.0005833957468897,0.9950093473499425,0.0016101593416407056,0.9966195066915833,0.9983083224593409
0.1984848484848485,0.19591876001828737,1.001655835362274,0.9935021268327995,0.0034996279362392814,0.9970017547690389,0.9984997520125074
0.22323232323232328,0.21959668786489794,1.004136800196579,0.9918032805387903,0.006903548669774503,0.9987068292085649,0.9993532054326763
0.24797979797979802,0.24301870502109318,1.0093427649015785,0.9899159942210111,0.012602034630786647,1.0025180288517976,1.0012582228635116
0.27272727272727276,0.26616073850966504,1.0194419281016516,0.9878437692207134,0.021573121655184695,1.009416890875898,1.0046974125954033
0.2974747474747475,0.2889999641718791,1.0378100237212364,0.985590404544045,0.03494955419640541,1.0205399587404504,1.0102177778778447
0.32222222222222224,0.31151488232481983,1.0694660720395561,0.9831599777774932,0.05390330551878556,1.0370632832962787,1.0183630410105615
0.346969696969697,0.33368538166733164,1.1215915556917817,0.9805568250251749,0.07942979953198419,1.059986624557159,1.0295565183889415
0.3717171717171717,0.3554927912508266,1.2041350965163327,0.9777855200547757,0.11203386660633627,1.0898193866611119,1.0439441492058432
0.3964646464646465,0.3769199204953981,1.3305028496627191,0.9748508528397425,0.15139187248292085,1.1262427253226635,1.0612458364218271
0.42121212121212126,0.3979510873875992,1.5183320776304225,0.9717578076837036,0.19615095834961832,1.1679087660333218,1.0806982770567009
0.445959595959596,0.4185721351411987,1.7903413354167608,0.9685115411088469,0.24403593682555388,1.2125474779344005,1.101157335685687
0.47070707070707074,0.43877043773392493,2.1752451807483233,0.9651173596836523,0.2922922812046909,1.257409640888343,1.1213427847399489
0.4954545454545455,0.45853489484989796,2.7087143729009107,0.9615806979569487,0.3382806404154796,1.2998613383724282,1.1401146163313705
0.5202020202020203,0.47785591685783213,3.4343544905978014,0.9579070966552291,0.3799528042085044,1.3378599008637335,1.15665893886821
0.5449494949494951,0.49672540053841874,4.404667416954817,0.9541021812886253,0.41605352804928686,1.3701557093379124,1.170536504914696
0.5696969696969698,0.5151366963402535,5.681952056584219,0.9501716412983106,0.44607148947626046,1.3962431307745709,1.1816273231330472
0.5944444444444446,0.5330845679924203,7.339093927885398,0.9461212098646069,0.47005690961971824,1.4161781194843253,1.1900328228600778
0.6191919191919193,0.550565145333903,9.460188860777215,0.9419566444810539,0.4884151365378826,1.4303717810189365,1.1959815136610334
0.643939393939394,0.5675758712362615,12.140944737390369,0.9376837083853513,0.5017355558879066,1.439419264273258,1.1997580023793373
0.6686868686868688,0.584115443497628,15.488807605538526,0.9333081529237436,0.5106723901586366,1.4439805430823802,1.2016574150240908
0.6934343434343435,0.6001837525744135,19.62276481484305,0.9288357009112427,0.5158717209247046,1.4447074218359472,1.2019598253835055
0.7181818181818184,0.6157818159937094,24.672787956882953,0.9242720310363036,0.5179322398037002,1.442204270840004,1.2009180949756748
0.7429292929292931,0.6309117102558266,30.778891863777492,0.9196227633453798,0.5173878651173123,1.437010628462692,1.1987537814174736
0.7676767676767678,0.6455765009944059,38.08980195516526,0.9148934458302943,0.5147033189233569,1.4295967647536512,1.1956574612963577
0.7924242424242426,0.659780172112702,46.761239809305515,0.9100895421296922,0.5102767304949232,1.4203662726246153,1.191791203451601
0.8171717171717173,0.6735275545606172,56.953854820952486,0.9052164203451308,0.5044456055058311,1.4096620258509618,1.1872918873853058
0.8419191919191921,0.6868242553593219,68.83084701625387,0.9002793429625933,0.49749403777391604,1.3977733807365091,1.1822746638309176
0.8666666666666668,0.6996765874203055,82.555341413724,0.8952834578614907,0.4896600081508526,1.3849434660123432,1.1768362103590895
0.8914141414141415,0.7120915006446832,98.28758680107433,0.8902337903855276,0.4811421941611146,1.3713759845466422,1.1710576350234185
0.9161616161616163,0.7240765147277254,116.18206071991712,0.8851352364431426,0.4721060456891204,1.357241282132263,1.1650069880186398
0.940909090909091,0.7356396540338163,136.38456736549287,0.8799925565995925,0.462689063284022,1.3426816198836145,1.1587413947398335
0.9656565656565658,0.7467893848492563,159.0294158561634,0.8748103711180774,0.45300530850470744,1.3278156796227847,1.1523088473247025
0.9904040404040406,0.7575345552651543,184.2367630257257,0.8695931559035498,0.4431492182265427,1.3127423741300925,1.1457496995985172
1.0151515151515154,0.76788433789066,212.11019790655664,0.8643452392999966,0.4331988096697939,1.2975440489697907,1.13909791017708
1.03989898989899,0.7778481755483678,242.73463496912183,0.8590707996898951,0.4232183632981613,1.2822891629880566,1.1323820746497433
1.0646464646464648,0.7874357300591444,276.1745706714325,0.853773863843229,0.4132606641844243,1.2670345280276534,1.1256262825767944
1.0893939393939396,0.796656834183091,312.4727437388725,0.8484583059627898,0.40336887309822517,1.251827179061015,1.1188508296734712
1.1141414141414143,0.8055214467468897,351.6492246483481,0.8431278473724125,0.3935780886405261,1.2367059360129389,1.1120728105717443
1.138888888888889,0.8140396109554005,393.70094480486756,0.8377860567952641,0.38391665232459565,1.2217027091198598,1.1053066131711418
1.1636363636363638,0.8222214158569994,438.6016615689112,0.8324363511702082,0.37440724006303605,1.2068435912332443,1.098564331859197
1.1883838383838385,0.830076960907625,486.3023422036445,0.8270819969555658,0.3650677762117587,1.1921497731673245,1.0918561137656027
1.2131313131313133,0.8376163235576414,536.7319384151355,0.8217261118712215,0.3559122001234744,1.1776383119946958,1.0851904496422256
1.237878787878788,0.8448495297682399,589.7985137693129,0.8163716670318983,0.34695110997565676,1.163322777007555,1.0785744188546078
1.2626262626262628,0.8517865273499055,645.3906790612119,0.8110214894265271,0.33819230433267905,1.1492137937592062,1.0720138962528454
1.2873737373737375,0.8584371620042441,703.3792857323414,0.8056782647008826,0.32964123834759257,1.135319503048475,1.065513727292368
1.3121212121212122,0.8648111559419184,763.6193246166741,0.8003445402030279,0.32130140858369155,1.1216459487867196,1.0590778766392581
1.336868686868687,0.8709180889433022,825.9519764901484,0.7950227282535471,0.3131746780319261,1.1081974062854734,1.05270955457119
1.3616161616161617,0.876767381724491,890.2067618798242,0.7897151096050157,0.3052615509252502,1.094976660530266,1.0464113247333795
1.3863636363636367,0.8823682814692163,956.2037400882348,0.7844238370576531,0.2975614053278374,1.0819852423854905,1.0401851961960864
