rim_check_id,orbit_id,class_id,golden_flag,edge_fail_count,complement_fail_count,pass_flag
0,0,42,0,0,0,1
1,1,47,0,0,0,1
2,2,14,0,0,0,1
3,3,44,0,0,0,1
4,4,38,0,0,0,1
5,5,37,0,0,0,1
6,6,22,0,0,0,1
7,7,46,0,0,0,1
8,8,6,0,0,0,1
9,9,45,0,0,0,1
10,10,23,0,0,0,1
11,11,39,0,0,0,1
12,12,6,0,0,0,1
13,13,46,0,0,0,1
14,14,21,0,0,0,1
15,15,60,0,0,0,1
16,16,12,0,0,0,1
17,17,58,0,0,0,1
18,18,51,0,0,0,1
19,19,12,0,0,0,1
20,20,13,0,0,0,1
21,21,21,0,0,0,1
22,22,43,0,0,0,1
23,23,3,0,0,0,1
24,24,6,0,0,0,1
25,25,61,0,0,0,1
26,26,19,0,0,0,1
27,27,36,0,0,0,1
28,28,3,0,0,0,1
29,29,31,0,0,0,1
30,30,8,0,0,0,1
31,31,4,0,0,0,1
32,32,32,0,0,0,1
33,33,20,0,0,0,1
34,34,18,0,0,0,1
35,35,50,0,0,0,1
36,36,1,0,0,0,1
37,37,15,0,0,0,1
38,38,10,0,0,0,1
39,39,2,0,0,0,1
40,40,33,0,0,0,1
41,41,3,0,0,0,1
42,42,33,0,0,0,1
43,43,23,0,0,0,1
44,44,41,0,0,0,1
45,45,17,0,0,0,1
46,46,35,0,0,0,1
47,47,29,0,0,0,1
48,48,5,0,0,0,1
49,49,52,0,0,0,1
50,50,4,0,0,0,1
51,51,17,0,0,0,1
52,52,25,0,0,0,1
53,53,3,0,0,0,1
54,54,28,0,0,0,1
55,55,48,0,0,0,1
56,56,40,0,0,0,1
57,57,44,0,0,0,1
58,58,30,0,0,0,1
59,59,5,0,0,0,1
60,60,5,0,0,0,1
61,61,45,0,0,0,1
62,62,2,0,0,0,1
63,63,29,0,0,0,1
64,64,24,0,0,0,1
65,65,41,0,0,0,1
66,66,26,0,0,0,1
67,67,34,0,0,0,1
68,68,37,0,0,0,1
69,69,13,0,0,0,1
70,70,35,0,0,0,1
71,71,4,0,0,0,1
72,72,4,0,0,0,1
73,73,39,0,0,0,1
74,74,36,0,0,0,1
75,75,31,0,0,0,1
76,76,30,0,0,0,1
77,77,25,0,0,0,1
78,78,48,0,0,0,1
79,79,28,0,0,0,1
80,80,40,0,0,0,1
81,81,47,0,0,0,1
82,82,42,0,0,0,1
83,83,5,0,0,0,1
84,84,34,0,0,0,1
85,85,26,0,0,0,1
86,86,14,0,0,0,1
87,87,38,0,0,0,1
88,88,20,0,0,0,1
89,89,32,0,0,0,1
90,90,1,0,0,0,1
91,91,15,0,0,0,1
92,92,6,0,0,0,1
93,93,19,0,0,0,1
94,94,22,0,0,0,1
95,95,7,0,0,0,1
96,96,24,0,0,0,1
97,97,1,0,0,0,1
98,98,43,0,0,0,1
99,99,11,0,0,0,1
100,100,2,0,0,0,1
101,101,9,0,0,0,1
102,102,54,0,0,0,1
103,103,49,0,0,0,1
104,104,27,0,0,0,1
105,105,62,0,0,0,1
106,106,10,0,0,0,1
107,107,55,0,0,0,1
108,108,59,0,0,0,1
109,109,11,0,0,0,1
110,110,2,0,0,0,1
111,111,53,0,0,0,1
112,112,7,0,0,0,1
113,113,27,0,0,0,1
114,114,16,0,0,0,1
115,115,1,0,0,0,1
116,116,9,0,0,0,1
117,117,16,0,0,0,1
118,118,56,0,0,0,1
119,119,7,0,0,0,1
120,120,57,0,0,0,1
121,121,8,0,0,0,1
122,122,0,1,0,0,1
123,123,18,0,0,0,1
