selector_id,selector_code,class_count,selected_class_id,golden_flag,unique_flag,stress_flag,transition_coupled_flag,physical_selector_flag,obstruction_flag
0,0,1,0,1,1,0,0,0,1
1,1,1,41,0,1,1,0,0,1
2,2,19,-1,0,0,1,0,0,1
3,3,1,58,0,1,1,0,0,1
4,4,0,-1,0,0,0,0,0,1
5,5,0,-1,0,0,0,0,0,1
6,6,0,-1,0,0,0,0,0,1
