observable_id,observable_code,value,scale_code
0,0,7,0
1,1,606,0
2,2,153,0
3,3,453,0
4,4,0,0
5,5,0,0
6,6,606,0
7,7,6,0
8,8,0,0
9,9,5,0
10,10,10,0
11,11,3,0
12,12,2114,0
13,13,5255,0
14,14,1521,0
15,15,957,0
16,16,3063,0
17,17,6,0
18,18,6,0
19,19,1967643000,0
20,20,2610966000,0
21,21,1718038000,0
22,22,20,0
23,23,0,0
