source_code,row_count,conductance_decreasing_count,support_changing_count,aperture_preserved_count,min_cut_conductance_x1e12,best_decreasing_source_row_id,best_decreasing_cut_conductance_x1e12,best_decreasing_reduction_x1e12,best_decreasing_old_cut_edge_still_cut_count
0,45,16,0,45,3708282000,41,3708282000,620722000,6
1,84,25,0,84,3649635000,81,3649635000,679369000,6
2,382,63,0,382,3649635000,108,3649635000,679369000,6
3,21,3,0,21,2645503000,2,2645503000,1683501000,6
4,28,24,0,28,2615519000,20,2615519000,1713485000,6
5,26,22,0,26,2610966000,10,2610966000,1718038000,6
6,20,0,0,20,4670913000,-1,-1,-1,-1
