observable_id,observable_code,value,scale_code
0,0,29,0
1,1,26,0
2,2,3,0
3,3,10,0
4,4,10,0
5,5,12,0
6,6,4,0
7,7,90,0
8,8,1,0
9,9,57,0
10,10,12,0
11,11,12,0
12,12,1,0
13,13,6,0
14,14,3,0
15,15,1,0
16,16,1,0
17,17,0,0
