label_id,known_count,fused_count,total_count,target_count,holonomy_coeff,eta_coeff,pairing_contribution
0,10,2,12,12,0,1,0
1,10,2,12,12,0,1,0
2,10,2,12,12,1,1,1
3,10,2,12,12,0,1,0
4,10,2,12,12,1,1,1
5,10,2,12,12,1,1,1
