fuse_id,face_id,label_mask,score,label_count,endpoint_inc_Bm,endpoint_inc_Bp,endpoint_inc_Vm,endpoint_inc_Vp,endpoint_inc_Sm,endpoint_inc_Sp
0,12,30,20,4,4,7,5,3,5,0
1,22,45,19,4,6,2,5,5,3,3
2,26,51,18,4,6,3,4,2,4,5
