name,support,size,public_label,kind,legacy_support,raw_support,raw_rank,resolution_status
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}",39,"pub({1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39})",unit,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",985,TOP_RAW_ALL_SECTORS
zero,{},0,0,public_zero_composite_or_zero,{},{},0,ZERO_SUPPORT
Pi33,{33},1,0,primitive_null,{33},{19},4,RAW_RESOLVED
pure_Sminus_doublet_25_26,"{25,26}",2,0,minimal_composite_null,"{25,26}","{30,29}",2,RAW_RESOLVED
mixed_S_channel_6_26,"{6,26}",2,0,minimal_composite_null,"{6,26}","{9,29}",5,RAW_RESOLVED
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",3,0,public_zero_composite_or_zero,"{25,26,33}","{30,29,19}",6,RAW_RESOLVED
Pi33_plus_mixed_S_channel,"{6,26,33}",3,0,public_zero_composite_or_zero,"{6,26,33}","{9,29,19}",9,RAW_RESOLVED
