support_name,source_support,raw_sector,i,j,relation_alpha,coefficient_mod_1000003
Pi33,{33},19,0,0,155,343751
Pi33,{33},19,0,0,156,656252
Pi33,{33},19,0,0,157,656252
Pi33,{33},19,0,0,158,343751
Pi33,{33},19,0,0,159,343751
Pi33,{33},19,0,0,160,656252
Pi33,{33},19,0,0,161,656252
Pi33,{33},19,0,0,162,343751
Pi33,{33},19,0,0,163,968753
Pi33,{33},19,0,0,164,656252
Pi33,{33},19,0,0,165,343751
Pi33,{33},19,0,0,166,31250
Pi33,{33},19,0,1,195,651125
Pi33,{33},19,0,1,196,348878
Pi33,{33},19,0,1,198,348878
Pi33,{33},19,0,1,201,651125
Pi33,{33},19,0,1,206,651125
Pi33,{33},19,0,1,207,348878
Pi33,{33},19,0,1,208,651125
Pi33,{33},19,0,1,210,348878
Pi33,{33},19,1,0,734,1
Pi33,{33},19,1,0,736,1000002
Pi33,{33},19,1,0,737,1
Pi33,{33},19,1,0,739,1000002
Pi33,{33},19,1,0,742,1
Pi33,{33},19,1,0,744,1000002
Pi33,{33},19,1,0,746,1
Pi33,{33},19,1,0,750,1000002
Pi33,{33},19,1,1,886,835940
Pi33,{33},19,1,1,890,835940
Pi33,{33},19,1,1,893,492189
Pi33,{33},19,1,1,895,164063
Pi33,{33},19,1,1,896,835940
Pi33,{33},19,1,1,897,164063
Pi33,{33},19,1,1,907,164063
Pi33,{33},19,1,1,908,164063
Pi33,{33},19,1,1,909,835940
Pi33,{33},19,1,1,910,835940
Pi33,{33},19,1,1,912,507814
Pi33,{33},19,1,1,916,835940
Pi33,{33},19,1,1,917,492189
Pi33,{33},19,1,1,921,164063
Pi33,{33},19,1,1,923,835940
Pi33,{33},19,1,1,926,835940
Pi33,{33},19,1,1,927,164063
Pi33,{33},19,1,1,928,164063
Pi33,{33},19,1,1,930,835940
Pi33,{33},19,1,1,932,835940
Pi33,{33},19,1,1,934,507814
Pi33,{33},19,1,1,935,164063
Pi33,{33},19,1,1,938,164063
Pi33,{33},19,1,1,940,492189
Pi33,{33},19,1,1,941,835940
Pi33,{33},19,1,1,943,835940
Pi33,{33},19,1,1,945,835940
Pi33,{33},19,1,1,951,164063
Pi33,{33},19,1,1,954,164063
Pi33,{33},19,1,1,955,164063
Pi33,{33},19,1,1,956,835940
Pi33,{33},19,1,1,960,164063
Pi33,{33},19,1,1,961,835940
Pi33,{33},19,1,1,962,835940
Pi33,{33},19,1,1,964,835940
Pi33,{33},19,1,1,965,164063
Pi33,{33},19,1,1,969,164063
Pi33,{33},19,1,1,973,835940
Pi33,{33},19,1,1,975,492189
Pi33,{33},19,1,1,977,507814
Pi33,{33},19,1,1,978,164063
Pi33,{33},19,1,1,981,164063
Pi33,{33},19,1,1,982,164063
Pi33,{33},19,1,1,983,507814
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,613,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,614,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,615,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,616,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,617,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,618,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,619,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,620,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,621,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,622,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,623,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,624,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,625,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,626,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,627,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,628,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,629,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,630,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,631,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,632,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,633,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,634,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,635,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,636,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,637,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,638,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,639,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,640,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,641,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,642,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,643,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,644,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,645,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,646,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,647,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,648,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,649,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,650,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,651,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,652,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,653,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,654,208985
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,655,791018
pure_Sminus_doublet_25_26,"{25,26}",30,0,0,656,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,613,791018
