layer_id,layer_code,primary_count,secondary_count,tertiary_count,quaternary_count,certified_flag
0,0,985,1414965,2537360,8,1
1,1,9,8,92,777,1
2,2,15,10,306,6,1
3,3,74,232,306,6,1
4,4,306,194,112,808,1
5,5,288,16,16,1,1
6,6,1414965,288,208,3128,1
7,7,4,131586,131586,26,1
