seam_id,seam_code,left_count,right_count,third_count,seam_match_flag
0,0,985,985,985,1
1,1,1414965,1414965,2537360,1
2,2,9,15,8,1
3,3,306,306,306,1
4,4,288,288,16,1
5,5,208,208,1,1
6,6,8,16,16,1
7,7,131586,131586,26,1
