ingest_id,process_code,source_code,certified_flag,ingested_flag,preserves_open_boundary_flag,broad_integration_run_flag,broad_integration_required_flag,focused_verifier_flag,oracle_refresh_deferred_flag
0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0
2,2,2,1,1,1,0,0,0,0
3,3,3,1,1,1,0,0,0,0
4,4,4,1,1,1,0,0,1,0
5,5,5,1,1,1,0,1,0,1
