shell,violation_rows,max_F_among_violations,max_ratio_among_violations,max_derivative,max_majorization_excess,first_direction,first_t
12,0,,,1.8125636669100048e-15,1.8408191637675489e-13,,
16,15,-3.3882809162923166,0.03376667477415548,0.0061322930975125,0.0141619242824102,prefix_16,24.0
