i,j,product,expected,pass
0,0,"[(6, 1)]","[(6, 1)]",True
0,1,[],[],True
0,2,[],[],True
0,3,[],[],True
0,4,[],[],True
0,5,[],[],True
1,0,[],[],True
1,1,"[(163, 1)]","[(163, 1)]",True
1,2,[],[],True
1,3,[],[],True
1,4,[],[],True
1,5,[],[],True
2,0,[],[],True
2,1,[],[],True
2,2,"[(227, 1)]","[(227, 1)]",True
2,3,[],[],True
2,4,[],[],True
2,5,[],[],True
3,0,[],[],True
3,1,[],[],True
3,2,[],[],True
3,3,"[(349, 1)]","[(349, 1)]",True
3,4,[],[],True
3,5,[],[],True
4,0,[],[],True
4,1,[],[],True
4,2,[],[],True
4,3,[],[],True
4,4,"[(618, 1)]","[(618, 1)]",True
4,5,[],[],True
5,0,[],[],True
5,1,[],[],True
5,2,[],[],True
5,3,[],[],True
5,4,[],[],True
5,5,"[(893, 1)]","[(893, 1)]",True
