i,j,count,M
0,0,33,33
0,1,12,12
0,2,8,8
0,3,24,24
0,4,30,30
0,5,32,32
1,0,12,12
1,1,16,16
1,2,4,4
1,3,12,12
1,4,12,12
1,5,20,20
2,0,8,8
2,1,4,4
2,2,14,14
2,3,22,22
2,4,8,8
2,5,20,20
3,0,24,24
3,1,12,12
3,2,22,22
3,3,86,86
3,4,32,32
3,5,64,64
4,0,30,30
4,1,12,12
4,2,8,8
4,3,32,32
4,4,44,44
4,5,44,44
5,0,32,32
5,1,20,20
5,2,20,20
5,3,64,64
5,4,44,44
5,5,104,104
