audit_id,wire_id,transcript_id,local_wire_bytes,digest_surface_bytes,saved_audit_bytes,table_dependency_flag,local_audit_improvement_flag,public_transport_claim_flag
0,0,0,4,96,92,1,1,0
1,1,1,4,96,92,1,1,0
2,2,2,4,96,92,1,1,0
3,3,3,4,96,92,1,1,0
4,4,4,4,96,92,1,1,0
5,5,5,4,96,92,1,1,0
6,6,6,4,96,92,1,1,0
7,7,7,4,96,92,1,1,0
8,8,8,4,96,92,1,1,0
9,9,9,4,96,92,1,1,0
10,10,10,4,96,92,1,1,0
11,11,11,4,96,92,1,1,0
12,12,12,4,96,92,1,1,0
13,13,13,4,96,92,1,1,0
14,14,14,4,96,92,1,1,0
15,15,15,4,96,92,1,1,0
16,16,16,4,96,92,1,1,0
17,17,17,4,96,92,1,1,0
18,18,18,4,96,92,1,1,0
19,19,19,4,96,92,1,1,0
20,20,20,4,96,92,1,1,0
21,21,21,4,96,92,1,1,0
22,22,22,4,96,92,1,1,0
23,23,23,4,96,92,1,1,0
24,24,24,4,96,92,1,1,0
25,25,25,4,96,92,1,1,0
26,26,26,4,96,92,1,1,0
27,27,27,4,96,92,1,1,0
28,28,28,4,96,92,1,1,0
29,29,29,4,96,92,1,1,0
30,30,30,4,96,92,1,1,0
31,31,31,4,96,92,1,1,0
32,32,32,4,96,92,1,1,0
33,33,33,4,96,92,1,1,0
34,34,34,4,96,92,1,1,0
35,35,35,4,96,92,1,1,0
36,36,36,4,96,92,1,1,0
37,37,37,4,96,92,1,1,0
38,38,38,4,96,92,1,1,0
39,39,39,4,96,92,1,1,0
40,40,40,4,96,92,1,1,0
41,41,41,4,96,92,1,1,0
42,42,42,4,96,92,1,1,0
43,43,43,4,96,92,1,1,0
44,44,44,4,96,92,1,1,0
45,45,45,4,96,92,1,1,0
46,46,46,4,96,92,1,1,0
47,47,47,4,96,92,1,1,0
48,48,48,4,96,92,1,1,0
49,49,49,4,96,92,1,1,0
50,50,50,4,96,92,1,1,0
51,51,51,4,96,92,1,1,0
52,52,52,4,96,92,1,1,0
53,53,53,4,96,92,1,1,0
54,54,54,4,96,92,1,1,0
55,55,55,4,96,92,1,1,0
