surface_id,role_code,certified_flag,formal_metric_input_flag,semantic_metric_input_flag,obstruction_flag,guard_required_flag,gr_claim_flag
0,0,1,0,0,0,1,0
1,1,1,1,0,0,1,0
2,2,1,1,0,0,1,0
3,3,1,0,0,1,1,0
4,4,1,1,0,0,0,0
5,5,1,1,0,0,0,0
6,6,1,1,0,0,0,0
7,7,1,1,0,0,1,0
