stage_id,layer_code,proof_id,status,certified_flag,primary_count,secondary_count,certificate_sha256
0,0,long_k23fam,SECTOR33_K23_MINIMAL_REPAIRED_PROJECTION_FAMILY_OBSTRUCTED,1,24,24,c4c86adf581055e4af0df1aafd084abc9098415953860e5b0ef911a643b09313
1,1,long_k23poly,SECTOR33_K23_CONCATENATIVE_POLYMORPHISM_CARRIER_CERTIFIED,1,91,9,038ea23f66444c578a6d06569390b64527b0e17a431402a2648912cd41f49256
2,1,long_k23rew,SECTOR33_K23_BOUNDED_REWRITE_FINGERPRINT_OBSTRUCTION_CERTIFIED,1,56,0,1a5f5224758a41a3f134ca84f1339a439c12e15a3ac5ebc30c68e099d8fe3ed0
3,2,long_k23cop,SECTOR33_K23_COMMIT_OPEN_TRANSCRIPT_CERTIFIED,1,56,91,987651497febd89570bd1c1d4f2708b38cfb83260537c7721f0529c972cde3ee
4,3,long_k23chal,SECTOR33_K23_VERIFIER_CHALLENGE_CERTIFIED,1,56,280,51e699a5d73388b88184605e314ec78c2725fff8b646f4644b471557fbfe5f29
5,4,long_k23game,SECTOR33_K23_VERIFICATION_GAME_TABLE_CERTIFIED,1,336,336,e9277292874464aeb1b13cfe9e7f96bcc83a454bf3f0645fe2e8e92e360216cf
