lift_edge_id,from_witness_id,to_witness_id,from_variation,to_variation,variation_gap_to_six_template_lift,from_delta_twice,to_delta_twice,delta_preserved_flag,from_closed_path_count,to_closed_path_count,closed_path_preserved_flag,from_template_count,to_template_count,template_count_gain,from_template_lift_min,to_template_lift_min,template_lift_min_change,from_rank104_template_match_count,to_rank104_template_match_count,rank104_template_match_gain,endpoint_9_path_count_change,endpoint_10_path_count_change,endpoint_11_path_count_change,endpoint_13_path_count_change,six_template_retention_gain,delta4_reintroduced_flag
0,0,2,197,223,26,2,2,1,24,24,1,2,6,4,12,4,-8,2,6,4,12,4,-16,0,1,0
1,1,2,199,223,24,2,2,1,24,24,1,3,6,3,8,4,-4,0,6,6,12,4,8,-24,1,0
