splice_witness_id,profile_class_code,word_length,pre_tail_symbol_count,inserted_symbol_count_over_rank104,metric_gromov_delta_twice,trace_signature_total_variation,variation_gap_to_selected_six_template_lift,first_return_closed_path_count,full_carrier_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,rank104_template_match_count,non_rank104_template_count,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,tail_entry_other_path_count,fixed_tail_atom_sequence_flag,six_template_retention_flag,lower_than_selected_flag,selected_six_template_lift_flag
0,0,12,7,2,2,197,26,24,192,2,12,12,2,0,0,0,24,0,0,1,0,1,0
1,0,13,8,3,2,199,24,24,160,3,8,8,0,3,0,0,0,24,0,1,0,1,0
2,1,13,8,3,2,223,0,24,240,6,4,4,6,0,12,4,8,0,0,1,1,0,1
