source_coordinate,target_column_weight,support_preimage_mask,support_preimage_weight
0,8,550024843269,7
1,6,68728520709,6
2,7,635656278021,8
3,9,756192247813,9
4,7,687204929541,10
5,7,154620526597,7
6,5,206166888449,6
7,1,1,1
8,7,86168506372,8
9,6,566945775616,6
10,9,773371531268,10
11,3,1572868,3
12,6,154888376324,7
13,1,8388608,1
14,1,9506816,4
15,1,268435456,1
16,6,773363204100,8
17,1,4,1
18,2,17180393472,2
19,1,68719476736,1
20,1,137438953472,1
21,2,549756338176,2
22,2,268566528,2
23,1,524288,1
