stage,min_weight,wt4_roots,wt8,wt12,wt16,wt20,type_ii_self_dual,orthant_mass_power
C0_H8_oplus_3,4,42,591,2828,591,42,True,-12
C1_neighbor_1,4,18,687,2684,687,18,True,-12
C2_neighbor_2,4,6,735,2612,735,6,True,-12
C3_neighbor_3,8,0,759,2576,759,0,True,-12
