shell,raw_P_terms,raw_P_positive,raw_P_negative,raw_P_coeff_l1,rest_groups,pair_total_cancellation_groups,pair_total_cancellation_failures,exact_x0_minus_x1_factor_groups,remainder_terms,quotient_terms,quotient_positive,quotient_negative,quotient_coeff_min,quotient_coeff_max,quotient_coeff_l1,certified_first_difference_factor
12,69440,34720,34720,182784,32144,32144,0,32144,0,34720,17360,17360,-13,13,91392,True
16,18524,9262,9262,64064,8503,8503,0,8503,0,9262,4631,4631,-17,17,32032,True
