source,target,label,margin
B-,"{B-,B+,V-}","B-_supports_{B-,B+,V-}",1
B+,"{B-,B+,V-}","B+_supports_{B-,B+,V-}",1
V-,"{B-,B+,V-}","V-_supports_{B-,B+,V-}",1
B-,"{B-,B+,V+}","B-_supports_{B-,B+,V+}",1
B+,"{B-,B+,V+}","B+_supports_{B-,B+,V+}",1
V+,"{B-,B+,V+}","V+_supports_{B-,B+,V+}",1
B-,"{B-,B+,S-}","B-_supports_{B-,B+,S-}",1
B+,"{B-,B+,S-}","B+_supports_{B-,B+,S-}",1
S-,"{B-,B+,S-}","S-_supports_{B-,B+,S-}",1
B-,"{B-,B+,S+}","B-_supports_{B-,B+,S+}",1
B+,"{B-,B+,S+}","B+_supports_{B-,B+,S+}",1
S+,"{B-,B+,S+}","S+_supports_{B-,B+,S+}",1
B-,"{B-,V-,V+}","B-_supports_{B-,V-,V+}",1
V-,"{B-,V-,V+}","V-_supports_{B-,V-,V+}",1
V+,"{B-,V-,V+}","V+_supports_{B-,V-,V+}",1
B-,"{B-,V-,S-}","B-_supports_{B-,V-,S-}",1
V-,"{B-,V-,S-}","V-_supports_{B-,V-,S-}",1
S-,"{B-,V-,S-}","S-_supports_{B-,V-,S-}",1
B-,"{B-,V-,S+}","B-_supports_{B-,V-,S+}",1
V-,"{B-,V-,S+}","V-_supports_{B-,V-,S+}",1
S+,"{B-,V-,S+}","S+_supports_{B-,V-,S+}",1
B-,"{B-,V+,S-}","B-_supports_{B-,V+,S-}",1
V+,"{B-,V+,S-}","V+_supports_{B-,V+,S-}",1
S-,"{B-,V+,S-}","S-_supports_{B-,V+,S-}",1
B-,"{B-,V+,S+}","B-_supports_{B-,V+,S+}",1
V+,"{B-,V+,S+}","V+_supports_{B-,V+,S+}",1
S+,"{B-,V+,S+}","S+_supports_{B-,V+,S+}",1
B-,"{B-,S-,S+}","B-_supports_{B-,S-,S+}",1
S-,"{B-,S-,S+}","S-_supports_{B-,S-,S+}",1
S+,"{B-,S-,S+}","S+_supports_{B-,S-,S+}",1
B+,"{B+,V-,V+}","B+_supports_{B+,V-,V+}",1
V-,"{B+,V-,V+}","V-_supports_{B+,V-,V+}",1
V+,"{B+,V-,V+}","V+_supports_{B+,V-,V+}",1
B+,"{B+,V-,S-}","B+_supports_{B+,V-,S-}",1
V-,"{B+,V-,S-}","V-_supports_{B+,V-,S-}",1
S-,"{B+,V-,S-}","S-_supports_{B+,V-,S-}",1
B+,"{B+,V-,S+}","B+_supports_{B+,V-,S+}",1
V-,"{B+,V-,S+}","V-_supports_{B+,V-,S+}",1
S+,"{B+,V-,S+}","S+_supports_{B+,V-,S+}",1
B+,"{B+,V+,S-}","B+_supports_{B+,V+,S-}",1
V+,"{B+,V+,S-}","V+_supports_{B+,V+,S-}",1
S-,"{B+,V+,S-}","S-_supports_{B+,V+,S-}",1
B+,"{B+,V+,S+}","B+_supports_{B+,V+,S+}",1
V+,"{B+,V+,S+}","V+_supports_{B+,V+,S+}",1
S+,"{B+,V+,S+}","S+_supports_{B+,V+,S+}",1
B+,"{B+,S-,S+}","B+_supports_{B+,S-,S+}",1
S-,"{B+,S-,S+}","S-_supports_{B+,S-,S+}",1
S+,"{B+,S-,S+}","S+_supports_{B+,S-,S+}",1
V-,"{V-,V+,S-}","V-_supports_{V-,V+,S-}",1
V+,"{V-,V+,S-}","V+_supports_{V-,V+,S-}",1
S-,"{V-,V+,S-}","S-_supports_{V-,V+,S-}",1
V-,"{V-,V+,S+}","V-_supports_{V-,V+,S+}",1
V+,"{V-,V+,S+}","V+_supports_{V-,V+,S+}",1
S+,"{V-,V+,S+}","S+_supports_{V-,V+,S+}",1
V-,"{V-,S-,S+}","V-_supports_{V-,S-,S+}",1
S-,"{V-,S-,S+}","S-_supports_{V-,S-,S+}",1
S+,"{V-,S-,S+}","S+_supports_{V-,S-,S+}",1
V+,"{V+,S-,S+}","V+_supports_{V+,S-,S+}",1
S-,"{V+,S-,S+}","S-_supports_{V+,S-,S+}",1
S+,"{V+,S-,S+}","S+_supports_{V+,S-,S+}",1
