name,nodes,edges,rank_A_ext,acyclic,positive_height_certificate,min_margin,negative_control
tower_descent_height_coherence,4,3,3,True,True,1,False
six_channel_to_D20_face_height_coherence,26,60,25,True,True,1,False
A42_to_A12_saturated_resizing_height_coherence,54,42,42,True,True,1,False
three_cycle_positive_annihilator_control,3,3,2,False,False,-2,True
