source,target,label,margin
A42:0,A12:0,class_0_descends_to_A12_0,1
A42:1,A12:0,class_1_descends_to_A12_0,1
A42:2,A12:1,class_2_descends_to_A12_1,1
A42:3,A12:1,class_3_descends_to_A12_1,1
A42:4,A12:2,class_4_descends_to_A12_2,1
A42:5,A12:2,class_5_descends_to_A12_2,1
A42:6,A12:3,class_6_descends_to_A12_3,1
A42:7,A12:3,class_7_descends_to_A12_3,1
A42:8,A12:4,class_8_descends_to_A12_4,1
A42:9,A12:4,class_9_descends_to_A12_4,1
A42:10,A12:5,class_10_descends_to_A12_5,1
A42:11,A12:5,class_11_descends_to_A12_5,1
A42:12,A12:3,class_12_descends_to_A12_3,1
A42:13,A12:6,class_13_descends_to_A12_6,1
A42:14,A12:6,class_14_descends_to_A12_6,1
A42:15,A12:7,class_15_descends_to_A12_7,1
A42:16,A12:7,class_16_descends_to_A12_7,1
A42:17,A12:3,class_17_descends_to_A12_3,1
A42:18,A12:6,class_18_descends_to_A12_6,1
A42:19,A12:6,class_19_descends_to_A12_6,1
A42:20,A12:7,class_20_descends_to_A12_7,1
A42:21,A12:7,class_21_descends_to_A12_7,1
A42:22,A12:8,class_22_descends_to_A12_8,1
A42:23,A12:8,class_23_descends_to_A12_8,1
A42:24,A12:4,class_24_descends_to_A12_4,1
A42:25,A12:9,class_25_descends_to_A12_9,1
A42:26,A12:9,class_26_descends_to_A12_9,1
A42:27,A12:8,class_27_descends_to_A12_8,1
A42:28,A12:8,class_28_descends_to_A12_8,1
A42:29,A12:4,class_29_descends_to_A12_4,1
A42:30,A12:9,class_30_descends_to_A12_9,1
A42:31,A12:9,class_31_descends_to_A12_9,1
A42:32,A12:10,class_32_descends_to_A12_10,1
A42:33,A12:10,class_33_descends_to_A12_10,1
A42:34,A12:11,class_34_descends_to_A12_11,1
A42:35,A12:11,class_35_descends_to_A12_11,1
A42:36,A12:5,class_36_descends_to_A12_5,1
A42:37,A12:10,class_37_descends_to_A12_10,1
A42:38,A12:10,class_38_descends_to_A12_10,1
A42:39,A12:11,class_39_descends_to_A12_11,1
A42:40,A12:11,class_40_descends_to_A12_11,1
A42:41,A12:5,class_41_descends_to_A12_5,1
