measure_id,fiber_row_id,sample_count,sum_value,average_num,average_den,weight_digits,weight_mod_1000000007,weight_mod_1000000009,conditional_total_digits,conditional_total_mod_1000000007,conditional_total_mod_1000000009,mixed_total_digits,mixed_total_mod_1000000007,mixed_total_mod_1000000009,conditional_prob_num_digits,conditional_prob_den_digits,conditional_prob_num_mod_1000000007,conditional_prob_den_mod_1000000007,conditional_prob_num_mod_1000000009,conditional_prob_den_mod_1000000009,mixed_prob_num_digits,mixed_prob_den_digits,mixed_prob_num_mod_1000000007,mixed_prob_den_mod_1000000007,mixed_prob_num_mod_1000000009,mixed_prob_den_mod_1000000009
0,0,1,0,0,1,5,64320,64320,7,1096591,1096591,97,521628264,852323877,5,7,64320,1096591,64320,1096591,4,95,1005,633150446,1005,60192561
0,1,1,1,1,1,6,146050,146050,7,1096591,1096591,97,521628264,852323877,6,7,146050,1096591,146050,1096591,5,97,73025,260814132,73025,926161943
0,2,1,2,2,1,6,886221,886221,7,1096591,1096591,97,521628264,852323877,6,7,886221,1096591,886221,1096591,6,96,126603,503089755,126603,264617698
0,3,2,0,0,2,10,137062372,137062364,13,511812867,511810463,97,521628264,852323877,10,13,137062372,511812867,137062364,511810463,8,95,32320800,316575223,32320800,530096285
0,4,2,1,1,2,11,787871874,787871838,13,511812867,511810463,97,521628264,852323877,11,13,787871874,511812867,787871838,511810463,9,95,146780250,316575223,146780250,530096285
0,5,2,2,2,2,12,334070995,334070725,13,511812867,511810463,97,521628264,852323877,12,13,334070995,511812867,334070725,511810463,11,97,833517754,130407066,833517688,963080976
0,6,2,3,3,2,12,865152294,865151778,13,511812867,511810463,97,521628264,852323877,12,13,865152294,511812867,865151778,511810463,10,96,245184012,875772444,245183994,566154429
0,7,2,4,4,2,12,387655346,387653776,13,511812867,511810463,97,521628264,852323877,12,13,387655346,511812867,387653776,511810463,12,96,198236479,503089755,198236255,264617698
0,8,3,0,0,3,15,851705335,851173145,19,379707654,742380419,97,521628264,852323877,15,19,851705335,379707654,851173145,742380419,13,95,873841454,316575223,873837298,530096285
0,9,3,1,1,3,16,877871429,874246123,19,379707654,742380419,97,521628264,852323877,16,19,877871429,379707654,874246123,742380419,14,95,358420873,316575223,358392551,530096285
