measure_id,path_count,weight_total_digits,weight_total_mod_1000000007,weight_total_mod_1000000009,global_mean_average_num_digits,global_mean_average_den_digits,global_mean_average_num_mod_1000000007,global_mean_average_den_mod_1000000007,global_mean_average_num_mod_1000000009,global_mean_average_den_mod_1000000009,global_variance_average_num_digits,global_variance_average_den_digits,global_variance_average_num_mod_1000000007,global_variance_average_den_mod_1000000007,global_variance_average_num_mod_1000000009,global_variance_average_den_mod_1000000009,within_variance_average_num_digits,within_variance_average_den_digits,within_variance_average_num_mod_1000000007,within_variance_average_den_mod_1000000007,within_variance_average_num_mod_1000000009,within_variance_average_den_mod_1000000009,between_variance_average_num_digits,between_variance_average_den_digits,between_variance_average_num_mod_1000000007,between_variance_average_den_mod_1000000007,between_variance_average_num_mod_1000000009,between_variance_average_den_mod_1000000009,variance_decomp_gap_num_digits,variance_decomp_gap_den_digits,variance_decomp_gap_num_mod_1000000007,variance_decomp_gap_den_mod_1000000007,variance_decomp_gap_num_mod_1000000009,variance_decomp_gap_den_mod_1000000009,variance_decomp_flag
0,288,97,521628264,852323877,7,7,1918492,1096591,1918492,1096591,105,107,727813816,726351884,875776263,274128642,105,107,727813816,726351884,875776263,274128642,1,1,0,1,0,1,1,1,0,1,0,1,1
1,288,101,825448199,613540441,6,6,220007,124115,220007,124115,107,109,576085378,625793732,371108897,572597173,107,109,576085378,625793732,371108897,572597173,1,1,0,1,0,1,1,1,0,1,0,1,1
