measure_id,measure_code,component_row_count,active_weight_total,full_raw_weight_total,inactive_weight_total,inactive_gap_flag,mixed_weight_total_digits,mixed_weight_total_mod_1000000007,mixed_weight_total_mod_1000000009,distribution_row_count,moment_row_count,decomp_row_count,normalized_active_scope_flag,full_raw_measure_certified_flag,full_raw_scope_gap_flag,next_target_code
0,0,3,1096591,1414965,318374,1,97,521628264,852323877,288,16,1,1,0,1,6
1,1,3,1985840,2537360,551520,1,101,825448199,613540441,288,16,1,1,0,1,6
