measure_id,sample_count,fiber_count,sum_value_min,sum_value_max,weight_total_digits,weight_total_mod_1000000007,weight_total_mod_1000000009,conditional_normalization_flag,mean_sum_num_digits,mean_sum_den_digits,mean_sum_num_mod_1000000007,mean_sum_den_mod_1000000007,mean_sum_num_mod_1000000009,mean_sum_den_mod_1000000009,variance_sum_num_digits,variance_sum_den_digits,variance_sum_num_mod_1000000007,variance_sum_den_mod_1000000007,variance_sum_num_mod_1000000009,variance_sum_den_mod_1000000009,mean_average_num_digits,mean_average_den_digits,mean_average_num_mod_1000000007,mean_average_den_mod_1000000007,mean_average_num_mod_1000000009,mean_average_den_mod_1000000009,variance_average_num_digits,variance_average_den_digits,variance_average_num_mod_1000000007,variance_average_den_mod_1000000007,variance_average_num_mod_1000000009,variance_average_den_mod_1000000009,variance_shrink_gap_num_digits,variance_shrink_gap_den_digits,variance_shrink_gap_num_mod_1000000007,variance_shrink_gap_den_mod_1000000007,variance_shrink_gap_num_mod_1000000009,variance_shrink_gap_den_mod_1000000009,variance_shrink_from_prev_flag
1,3,7,0,6,19,621743027,959182893,1,6,6,660021,124115,660021,124115,11,11,337003824,404533120,337003800,404533090,6,6,220007,124115,220007,124115,10,11,370778205,404533120,370778203,404533090,9,11,685389106,404533120,685389106,404533090,1
1,4,9,0,8,26,164094906,739092073,1,6,6,880028,124115,880028,124115,11,11,449338432,404533120,449338400,404533090,6,6,220007,124115,220007,124115,10,11,28083652,404533120,28083650,404533090,9,11,342694553,404533120,342694553,404533090,1
1,5,11,0,10,32,225849978,589036858,1,6,5,220007,24823,220007,24823,10,10,112334608,80906624,112334600,80906618,6,6,220007,124115,220007,124115,10,11,112334608,22665586,112334600,22665432,10,11,28083652,22665586,28083650,22665432,1
1,6,13,0,12,38,917172013,943563132,1,7,6,1320042,124115,1320042,124115,11,11,674007648,404533120,674007600,404533090,6,6,220007,124115,220007,124115,9,11,685389106,404533120,685389106,404533090,9,11,685389106,22665586,685389106,22665432,1
1,7,15,0,14,45,857546428,393186995,1,7,6,1540049,124115,1540049,124115,11,11,786342256,404533120,786342200,404533090,6,6,220007,124115,220007,124115,10,12,112334608,831731826,112334600,831731612,9,12,685389106,831731826,685389106,831731612,1
1,8,17,0,16,51,986658877,455123546,1,7,6,1760056,124115,1760056,124115,11,11,898676864,404533120,898676800,404533090,6,6,220007,124115,220007,124115,10,11,28083652,809066240,28083650,809066180,10,12,28083652,663463645,28083650,663463215,1
1,9,19,0,18,57,650586258,534454422,1,7,6,1980063,124115,1980063,124115,11,11,11011465,404533120,11011391,404533090,6,6,220007,124115,220007,124115,10,11,370778205,213599353,370778203,213599261,9,11,342694553,427198706,342694553,427198522,1
1,10,21,0,20,63,205543000,959832420,1,6,5,440014,24823,440014,24823,10,10,224669216,80906624,224669200,80906618,6,6,220007,124115,220007,124115,10,11,56167304,22665586,56167300,22665432,9,12,685389106,67996758,685389106,67996296,1
1,11,23,0,22,70,508262775,595778143,1,7,6,2420077,124115,2420077,124115,11,11,235680681,404533120,235680591,404533090,6,6,220007,124115,220007,124115,10,12,112334608,449864292,112334600,449863954,10,12,56167304,249321446,56167300,249319752,1
1,12,25,0,24,76,542040704,56847040,1,7,6,2640084,124115,2640084,124115,11,11,348015289,404533120,348015191,404533090,6,6,220007,124115,220007,124115,9,11,342694553,404533120,342694553,404533090,9,12,342694553,449864292,342694553,449863954,1
1,13,27,0,26,82,104096518,124897599,1,7,6,2860091,124115,2860091,124115,11,11,460349897,404533120,460349791,404533090,6,6,220007,124115,220007,124115,10,12,112334608,258930525,112334600,258930125,9,12,342694553,258930525,342694553,258930125,1
1,14,29,0,28,89,27858087,645765926,1,7,6,3080098,124115,3080098,124115,11,11,572684505,404533120,572684391,404533090,6,6,220007,124115,220007,124115,10,12,56167304,831731826,56167300,831731612,10,13,56167304,812513668,56167300,812510866,1
1,15,31,0,30,95,703100833,794946357,1,6,5,660021,24823,660021,24823,11,10,337003824,80906624,337003800,80906618,6,6,220007,124115,220007,124115,10,11,370778205,22665586,370778203,22665432,9,12,685389106,158659102,685389106,158658024,1
1,16,33,0,32,101,748431005,259377156,1,7,6,3520112,124115,3520112,124115,11,11,797353721,404533120,797353591,404533090,6,6,220007,124115,220007,124115,10,11,28083652,618132473,28083650,618132351,9,12,342694553,90662344,342694553,90661728,1
