weight,block_count,ratio,success,nit,std_log_coordinates,message,random_probe_max_ratio
8,759,1.000000000000001,True,26,1.4037936833074414e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0
12,2576,1.0000000000000013,True,20,4.5991842195743776e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0
16,759,1.0000000000000027,True,36,9.58020820499652e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0
24,1,1.0000000000000036,True,22,1.0966000756858607e-11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0
