operator,stabilizer_id,relative_error
raw,0,1.3052303162795207
raw,1,1.3052303162795207
raw,2,1.3052303162795207
raw,3,1.3052303162795207
raw,4,1.3052303162795207
raw,5,1.3052303162795207
raw,6,1.3052303162795207
raw,7,1.3052303162795207
raw,8,0.0
raw,9,3.563645198634544e-16
raw,10,2.0984184028510314e-16
raw,11,4.1355685093073856e-16
raw,12,2.0984184028510314e-16
raw,13,4.1355685093073856e-16
raw,14,2.0984184028510314e-16
raw,15,4.1355685093073856e-16
raw,16,1.3052303162795207
raw,17,1.3052303162795207
raw,18,1.3052303162795207
raw,19,1.3052303162795207
raw,20,1.3052303162795207
raw,21,1.3052303162795207
raw,22,1.3052303162795207
raw,23,1.3052303162795207
