fano_point,fano_label,contracted_channel,tetrahedron_edge,tetrahedron_vertices,opposite_channel,opposite_tetrahedron_edge,through_null_line
2,010,B-,e12,1-2,B+,e34,001 010 011
3,011,B+,e34,3-4,B-,e12,001 010 011
4,100,V-,e13,1-3,V+,e24,001 100 101
5,101,V+,e24,2-4,V-,e13,001 100 101
6,110,S-,e14,1-4,S+,e23,001 110 111
7,111,S+,e23,2-3,S-,e14,001 110 111
