nonnull_line_id,fano_line_points,edge_labels,tetra_edges,tetrahedron_vertex_star,vertex,interpretation
1,010 100 110,B- V- S-,e12 e13 e14,vertex_star_1,1,one of the four 3-edge stars / opposite face normals in K4
2,010 101 111,B- V+ S+,e12 e24 e23,vertex_star_2,2,one of the four 3-edge stars / opposite face normals in K4
3,011 100 111,B+ V- S+,e34 e13 e23,vertex_star_3,3,one of the four 3-edge stars / opposite face normals in K4
4,011 101 110,B+ V+ S-,e34 e24 e14,vertex_star_4,4,one of the four 3-edge stars / opposite face normals in K4
