stabilizer_id,gl_index,matrix_rows,perm_1_to_7,perm_labels_1_to_7,edge_perm_H6_old_to_new,edge_perm_indices_old_to_new,tetra_vertex_perm_old_to_new,det_edge_perm
0,32,010;100;001,1 4 5 2 3 6 7,001 100 101 010 011 110 111,V- V+ B- B+ S- S+,2 3 0 1 4 5,1 3 2 4,1
1,33,010;100;011,1 5 4 2 3 7 6,001 101 100 010 011 111 110,V+ V- B- B+ S+ S-,3 2 0 1 5 4,2 4 1 3,1
2,34,010;100;101,1 4 5 3 2 7 6,001 100 101 011 010 111 110,V- V+ B+ B- S+ S-,2 3 1 0 5 4,3 1 4 2,1
3,35,010;100;111,1 5 4 3 2 6 7,001 101 100 011 010 110 111,V+ V- B+ B- S- S+,3 2 1 0 4 5,4 2 3 1,1
4,40,010;110;001,1 6 7 2 3 4 5,001 110 111 010 011 100 101,S- S+ B- B+ V- V+,4 5 0 1 2 3,1 4 2 3,1
5,41,010;110;011,1 7 6 2 3 5 4,001 111 110 010 011 101 100,S+ S- B- B+ V+ V-,5 4 0 1 3 2,2 3 1 4,1
6,42,010;110;101,1 6 7 3 2 5 4,001 110 111 011 010 101 100,S- S+ B+ B- V+ V-,4 5 1 0 3 2,4 1 3 2,1
7,43,010;110;111,1 7 6 3 2 4 5,001 111 110 011 010 100 101,S+ S- B+ B- V- V+,5 4 1 0 2 3,3 2 4 1,1
8,76,100;010;001,1 2 3 4 5 6 7,001 010 011 100 101 110 111,B- B+ V- V+ S- S+,0 1 2 3 4 5,1 2 3 4,1
9,77,100;010;011,1 3 2 4 5 7 6,001 011 010 100 101 111 110,B+ B- V- V+ S+ S-,1 0 2 3 5 4,3 4 1 2,1
10,78,100;010;101,1 2 3 5 4 7 6,001 010 011 101 100 111 110,B- B+ V+ V- S+ S-,0 1 3 2 5 4,2 1 4 3,1
11,79,100;010;111,1 3 2 5 4 6 7,001 011 010 101 100 110 111,B+ B- V+ V- S- S+,1 0 3 2 4 5,4 3 2 1,1
12,88,100;110;001,1 2 3 6 7 4 5,001 010 011 110 111 100 101,B- B+ S- S+ V- V+,0 1 4 5 2 3,1 2 4 3,1
13,89,100;110;011,1 3 2 6 7 5 4,001 011 010 110 111 101 100,B+ B- S- S+ V+ V-,1 0 4 5 3 2,4 3 1 2,1
14,90,100;110;101,1 2 3 7 6 5 4,001 010 011 111 110 101 100,B- B+ S+ S- V+ V-,0 1 5 4 3 2,2 1 3 4,1
15,91,100;110;111,1 3 2 7 6 4 5,001 011 010 111 110 100 101,B+ B- S+ S- V- V+,1 0 5 4 2 3,3 4 2 1,1
16,124,110;010;001,1 6 7 4 5 2 3,001 110 111 100 101 010 011,S- S+ V- V+ B- B+,4 5 2 3 0 1,1 4 3 2,1
17,125,110;010;011,1 7 6 4 5 3 2,001 111 110 100 101 011 010,S+ S- V- V+ B+ B-,5 4 2 3 1 0,3 2 1 4,1
18,126,110;010;101,1 6 7 5 4 3 2,001 110 111 101 100 011 010,S- S+ V+ V- B+ B-,4 5 3 2 1 0,4 1 2 3,1
19,127,110;010;111,1 7 6 5 4 2 3,001 111 110 101 100 010 011,S+ S- V+ V- B- B+,5 4 3 2 0 1,2 3 4 1,1
20,132,110;100;001,1 4 5 6 7 2 3,001 100 101 110 111 010 011,V- V+ S- S+ B- B+,2 3 4 5 0 1,1 3 4 2,1
21,133,110;100;011,1 5 4 6 7 3 2,001 101 100 110 111 011 010,V+ V- S- S+ B+ B-,3 2 4 5 1 0,4 2 1 3,1
22,134,110;100;101,1 4 5 7 6 3 2,001 100 101 111 110 011 010,V- V+ S+ S- B+ B-,2 3 5 4 1 0,3 1 2 4,1
23,135,110;100;111,1 5 4 7 6 2 3,001 101 100 111 110 010 011,V+ V- S+ S- B- B+,3 2 5 4 0 1,2 4 3 1,1
