through_null_line_id,fano_line_points,remaining_pair,edge_pair,tetra_edges,relation
1,001 010 011,010 011,B- B+,e12 e34,opposite tetrahedron edges
2,001 100 101,100 101,V- V+,e13 e24,opposite tetrahedron edges
3,001 110 111,110 111,S- S+,e14 e23,opposite tetrahedron edges
