,B-,B+,V-,V+,S-,S+
B-,-3383.87557763813,-3383.875577638128,-2278.980265038004,-2278.980265038004,-2278.9802650380043,-2278.9802650380043
B+,-3383.87557763813,-3383.875577638128,-2278.9802650380066,-2278.9802650380066,-2278.9802650380066,-2278.9802650380066
V-,-1515.2866634850295,-1515.2866634850384,1691.9377888190656,1691.9377888190656,3794.2669285230395,3794.2669285230395
V+,-1515.2866634850295,-1515.2866634850384,1691.9377888190656,1691.9377888190656,3794.2669285230395,3794.2669285230395
S-,-1515.2866634850295,-1515.2866634850384,3794.2669285230395,3794.2669285230395,1691.9377888190643,1691.9377888190643
S+,-1515.2866634850295,-1515.2866634850384,3794.2669285230395,3794.2669285230395,1691.9377888190643,1691.9377888190643
