operator,stabilizer_id,relative_error
normalized,0,1.310488561095245
normalized,1,1.310488561095245
normalized,2,1.310488561095245
normalized,3,1.310488561095245
normalized,4,1.310488561095245
normalized,5,1.310488561095245
normalized,6,1.310488561095245
normalized,7,1.310488561095245
normalized,8,0.0
normalized,9,1.254220653855169e-15
normalized,10,0.0
normalized,11,1.254220653855169e-15
normalized,12,0.0
normalized,13,1.254220653855169e-15
normalized,14,0.0
normalized,15,1.254220653855169e-15
normalized,16,1.310488561095245
normalized,17,1.310488561095245
normalized,18,1.310488561095245
normalized,19,1.310488561095245
normalized,20,1.310488561095245
normalized,21,1.310488561095245
normalized,22,1.310488561095245
normalized,23,1.310488561095245
