,B-,B+,V-,V+,S-,S+
B-,142538.61973075362,142538.61973075362,55629.4017205151,55629.40172051511,55629.4017205151,55629.40172051511
B+,142538.61973075362,142538.61973075362,55629.4017205151,55629.40172051511,55629.4017205151,55629.4017205151
V-,55629.4017205151,55629.4017205151,142538.61973075362,142538.61973075362,55629.401720515125,55629.401720515125
V+,55629.401720515125,55629.401720515125,142538.61973075362,142538.61973075362,55629.401720515125,55629.401720515125
S-,55629.4017205151,55629.40172051508,55629.401720515125,55629.401720515125,142538.61973075362,142538.61973075362
S+,55629.4017205151,55629.4017205151,55629.40172051513,55629.40172051513,142538.61973075362,142538.61973075362
