,B-,B+,V-,V+,S-,S+
B-,142538.619730753,-4.547473508864641e-13,-1.5631940186722204e-13,0.0,0.0,0.0
B+,-4.547473508864641e-13,142538.619730753,-1.5631940186722204e-13,0.0,0.0,0.0
V-,-1.5158245029548803e-13,-1.5158245029548803e-13,142538.6197307532,0.0,0.0,0.0
V+,0.0,0.0,0.0,142538.6197307532,0.0,0.0
S-,0.0,0.0,0.0,0.0,142538.619730753,0.0
S+,0.0,0.0,0.0,0.0,0.0,142538.619730753
