,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,130505.34223468573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧V-,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,0.0,-35871623.47854335,-35871623.47854335,-35871623.47854335,-35871623.47854335,0.0
B-∧V+,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,0.0,-35871623.47854335,-35871623.47854335,-35871623.47854335,-35871623.47854335,0.0
B-∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V-,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,0.0,-35871623.47854335,-35871623.47854335,-35871623.47854335,-35871623.47854335,0.0
B+∧V+,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,35871623.47854335,35871623.47854335,0.0,0.0,0.0,-35871623.47854335,-35871623.47854335,-35871623.47854335,-35871623.47854335,0.0
B+∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧V+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧S-,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,0.0,35871623.47854335,35871623.47854335,35871623.47854335,35871623.47854335,0.0
V-∧S+,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,0.0,35871623.47854335,35871623.47854335,35871623.47854335,35871623.47854335,0.0
V+∧S-,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,0.0,35871623.47854335,35871623.47854335,35871623.47854335,35871623.47854335,0.0
V+∧S+,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,-35871623.47854335,-35871623.47854335,0.0,0.0,0.0,35871623.47854335,35871623.47854335,35871623.47854335,35871623.47854335,0.0
S-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
