map,identity,relative_error,rank_P16,idempotence_error
Q:H6_to_A12_pair3,Q P6 = P3 Q,1.9439030733861788e-16,,
Lambda2 functor,P16 = 1 + Lambda2(P6),,2.0,0.0
A6 quotient,Q(P6 A6 P6)Q^T = P3(Q A6 Q^T)P3,3.036490152968471e-16,,
