edge_mod2_height_gap,count
0,28
55296,4
110592,4
147456,6
165888,3
196608,3
221184,11
258048,4
276480,3
294912,2
307200,2
313344,10
331776,5
362496,3
399360,1
423936,2
442368,6
460800,2
473088,1
497664,4
516096,2
528384,10
552960,2
565248,2
583680,5
589824,7
620544,2
626688,2
657408,2
663552,6
675840,4
700416,4
712704,2
718848,3
731136,1
737280,2
749568,2
774144,1
786432,3
792576,6
804864,1
811008,3
823296,5
835584,4
841728,2
847872,2
890880,2
897024,2
903168,5
915456,1
921600,16
940032,2
958464,8
970752,3
976896,11
983040,1
989184,1
995328,2
1007616,5
1013760,1
1019904,1
1026048,3
1032192,2
1044480,1
1056768,3
1062912,2
1069056,1
1105920,1
1112064,2
1118208,9
1130496,1
1136640,2
1142784,1
1148928,2
1155072,2
1167360,1
1173504,5
1179648,2
1185792,4
1198080,5
1204224,2
1210368,1
1216512,4
1234944,2
1241088,1
1247232,4
1253376,3
1265664,7
1271808,2
1302528,1
1308672,2
1314816,4
1320960,9
1327104,1
1339392,6
1351680,14
1363968,4
1370112,3
1376256,2
1388544,2
1394688,3
1400832,4
1406976,4
1413120,10
1419264,2
1425408,2
1431552,4
1449984,4
1462272,3
1468416,2
1474560,1
1480704,3
1486848,4
1492992,1
1499136,4
1505280,3
1511424,12
1517568,4
1536000,3
1548288,6
1560576,3
1566720,4
1572864,5
1579008,2
1585152,2
1591296,2
1609728,5
1615872,3
1628160,1
1634304,2
1640448,4
1646592,3
1652736,4
1658880,7
1665024,4
1671168,1
1677312,2
1683456,4
1695744,1
1701888,2
1708032,4
1714176,9
1726464,1
1732608,7
1738752,2
1744896,4
1751040,1
1757184,4
1763328,5
1769472,1
1775616,6
1781760,2
1787904,3
1794048,5
1806336,4
1812480,6
1818624,1
1824768,3
1830912,4
1837056,4
1843200,3
1849344,1
1855488,5
1861632,2
1867776,2
1873920,2
1880064,8
1886208,2
1904640,7
1910784,7
1916928,1
1929216,3
1935360,3
1941504,8
1953792,3
1959936,5
1966080,1
1972224,2
1978368,5
1990656,3
1996800,8
2002944,4
2009088,4
2015232,7
2021376,3
2027520,3
2033664,4
2039808,2
2052096,8
2058240,1
2064384,2
2070528,3
2076672,12
2088960,4
2095104,3
2101248,2
2107392,9
2113536,1
2119680,3
2125824,4
2131968,7
2138112,4
2150400,1
2156544,2
2162688,4
2168832,2
2174976,6
2181120,8
2187264,3
2199552,8
2205696,3
2211840,1
2217984,5
2224128,2
2230272,4
2236416,3
2242560,4
2248704,2
2254848,6
2260992,3
2267136,2
2273280,3
2285568,3
2291712,4
2297856,1
2304000,3
2310144,2
2316288,2
2322432,3
2328576,8
2334720,2
2340864,2
2347008,2
2353152,2
2359296,4
2365440,2
2371584,1
2377728,5
2383872,3
2390016,1
2396160,2
2402304,7
2408448,1
2414592,8
2420736,1
2433024,1
2439168,2
2445312,2
2451456,4
2457600,1
2463744,1
2469888,21
2476032,3
2482176,2
2488320,8
2494464,3
2500608,2
2506752,8
2512896,3
2519040,3
2525184,16
2531328,4
2543616,3
2549760,3
2562048,3
2568192,4
2574336,6
2580480,8
2586624,1
