height_action,count
0,1
374784,1
691200,1
774144,1
903168,1
992256,1
1065984,1
1069056,1
1075200,1
1081344,1
1090560,1
1148928,1
1191936,1
1277952,1
1320960,1
1367040,1
1443840,1
1449984,1
1456128,1
1465344,2
1566720,1
1594368,1
1677312,1
1683456,1
1695744,1
1760256,1
1766400,2
1772544,1
1781760,1
1840128,1
1843200,1
1849344,1
1855488,1
1864704,1
1883136,1
1895424,1
1966080,1
1969152,1
1972224,1
1978368,1
1984512,1
1993728,1
2012160,1
2052096,1
2058240,1
2061312,1
2067456,1
2073600,1
2082816,1
2095104,2
2135040,1
2141184,2
2144256,1
2147328,1
2150400,1
2156544,2
2159616,1
2165760,1
2171904,1
2184192,1
2217984,1
2224128,2
2230272,1
2239488,1
2257920,1
2260992,1
2267136,1
2270208,1
2273280,1
2282496,1
2313216,1
2340864,1
2347008,1
2353152,1
2359296,1
2368512,2
2386944,1
2390016,1
2396160,1
2402304,1
2411520,1
2436096,1
2442240,1
2448384,1
2457600,2
2469888,2
2512896,1
2519040,1
2525184,1
2531328,1
2534400,2
2540544,2
2546688,2
2555904,1
2558976,1
2586624,1
2598912,1
2635776,1
2641920,1
2648064,1
2657280,2
2663424,1
2669568,2
2675712,1
2684928,1
2688000,1
2743296,1
2746368,1
2752512,2
2758656,2
2764800,2
2767872,1
2770944,1
2774016,1
2777088,1
2786304,3
2832384,1
2835456,2
2841600,2
2847744,2
2850816,1
2856960,2
2863104,1
2869248,1
2875392,1
2887680,1
2909184,1
2915328,2
2918400,1
2921472,1
2924544,1
2930688,2
2933760,1
2939904,1
2946048,1
2952192,1
2958336,2
2961408,1
2964480,2
2970624,1
2973696,1
2976768,1
2985984,1
2998272,1
3004416,1
3032064,1
3035136,1
3038208,1
3041280,1
3044352,2
3047424,2
3050496,1
3053568,1
3056640,1
3059712,2
3062784,1
3068928,1
3075072,1
3081216,1
3087360,3
3093504,1
3102720,1
3121152,1
3127296,2
3133440,2
3136512,1
3139584,1
3142656,2
3148800,2
3151872,1
3158016,1
3161088,2
3164160,3
3170304,2
3176448,2
3185664,2
3204096,1
3210240,2
3216384,3
3222528,2
3225600,2
3231744,2
3234816,1
3237888,1
3240960,1
3244032,1
3247104,1
3250176,1
3253248,1
3259392,1
3265536,1
3274752,1
3287040,1
3290112,1
3293184,2
3299328,2
3305472,2
3308544,1
3314688,2
3320832,1
3326976,1
3333120,2
3336192,1
3339264,2
3342336,1
3345408,1
3348480,2
3351552,2
3357696,1
3360768,2
3363840,1
3373056,1
3379200,1
3382272,1
3388416,1
3394560,1
3403776,1
3409920,1
3416064,2
3422208,2
3428352,1
3431424,1
3434496,1
3437568,2
3443712,2
3449856,2
3456000,1
3459072,1
3462144,3
3465216,1
3468288,1
3471360,1
3477504,2
3480576,1
3486720,1
3492864,1
3505152,1
3511296,1
3517440,1
3523584,1
3526656,2
3532800,2
3538944,4
3545088,2
3548160,1
3551232,2
3560448,3
3578880,1
3581952,1
3588096,1
3591168,1
3594240,1
3600384,1
3603456,1
3609600,2
3615744,2
3621888,2
3624960,1
3628032,1
3631104,1
3634176,1
3637248,1
3640320,1
3649536,2
3655680,1
3661824,2
3667968,2
3674112,1
3677184,1
3680256,1
3689472,2
3710976,1
3717120,1
3723264,1
3726336,2
3732480,2
3735552,1
3738624,4
3744768,2
3747840,1
3750912,2
3753984,1
3757056,1
3760128,2
3763200,1
3766272,1
3769344,1
3778560,3
3790848,1
3812352,1
3818496,1
3821568,1
3824640,1
3827712,2
3833856,3
3836928,1
3840000,2
3843072,2
3846144,1
3849216,2
3852288,1
3855360,4
3861504,4
3867648,3
3876864,2
3879936,1
3901440,1
3907584,2
3910656,1
3913728,1
3916800,2
3922944,2
3926016,2
3932160,2
3935232,1
3938304,3
3944448,2
3950592,2
3956736,2
3959808,1
3962880,1
3965952,1
3969024,1
3978240,2
3984384,2
3990528,3
3996672,2
