mask,basis_cycle_ids,basis_active_count,basis_length_sum,height_action,edge_mod2_height_action,edge_mod2_height_gap,residual_integral,residual_mod_1000003,transport_scalar_mod_1000003,transport_scalar_signed,support_sector,q42_shadow_nonzero,q12_shadow_nonzero,coefficient_matches_residual_mod_prime
1087,0 1 2 3 4 5 10,7,52,7225344,2451456,4773888,-7225344,774680,387340,387340,33,0,0,True
1088,6 10,2,13,1993728,1883136,110592,-1993728,6278,3139,3139,33,0,0,True
1089,0 6 10,3,21,3068928,2147328,921600,-3068928,931084,465542,465542,33,0,0,True
1090,1 6 10,3,21,3314688,2982912,331776,-3314688,685324,342662,342662,33,0,0,True
1091,0 1 6 10,4,29,4389888,2976768,1413120,-4389888,610127,805065,-194938,33,0,0,True
1092,2 6 10,3,18,2767872,1993728,774144,-2767872,232137,616070,-383933,33,0,0,True
1093,0 2 6 10,4,26,3843072,2110464,1732608,-3843072,156940,78470,78470,33,0,0,True
1094,1 2 6 10,4,26,4088832,3093504,995328,-4088832,911183,955593,-44410,33,0,0,True
1095,0 1 2 6 10,5,34,5164032,2939904,2224128,-5164032,835986,417993,417993,33,0,0,True
1096,3 6 10,3,23,3185664,2485248,700416,-3185664,814348,407174,407174,33,0,0,True
1097,0 3 6 10,4,31,4260864,2786304,1474560,-4260864,739151,869577,-130426,33,0,0,True
1098,1 3 6 10,4,31,4506624,2049024,2457600,-4506624,493391,746697,-253306,33,0,0,True
1099,0 1 3 6 10,5,39,5581824,2079744,3502080,-5581824,418194,209097,209097,33,0,0,True
1100,2 3 6 10,4,28,3959808,2817024,1142784,-3959808,40204,20102,20102,33,0,0,True
1101,0 2 3 6 10,5,36,5035008,2970624,2064384,-5035008,965010,482505,482505,33,0,0,True
1102,1 2 3 6 10,5,36,5280768,2380800,2899968,-5280768,719250,359625,359625,33,0,0,True
1103,0 1 2 3 6 10,6,44,6355968,2264064,4091904,-6355968,644053,822028,-177975,33,0,0,True
1104,4 6 10,3,21,3075072,2761728,313344,-3075072,924940,462470,462470,33,0,0,True
1105,0 4 6 10,4,29,4150272,3173376,976896,-4150272,849743,924873,-75130,33,0,0,True
1106,1 4 6 10,4,29,4396032,2436096,1959936,-4396032,603983,801993,-198010,33,0,0,True
1107,0 1 4 6 10,5,37,5471232,2577408,2893824,-5471232,528786,264393,264393,33,0,0,True
1108,2 4 6 10,4,26,3849216,2872320,976896,-3849216,150796,75398,75398,33,0,0,True
1109,0 2 4 6 10,5,34,4924416,3136512,1787904,-4924416,75599,537801,-462202,33,0,0,True
1110,1 2 4 6 10,5,34,5170176,2546688,2623488,-5170176,829842,414921,414921,33,0,0,True
1111,0 1 2 4 6 10,6,42,6245376,2540544,3704832,-6245376,754645,877324,-122679,33,0,0,True
1112,3 4 6 10,4,31,4267008,2085888,2181120,-4267008,733007,866505,-133498,33,0,0,True
1113,0 3 4 6 10,5,39,5342208,2239488,3102720,-5342208,657810,328905,328905,33,0,0,True
1114,1 3 4 6 10,5,39,5587968,3075072,2512896,-5587968,412050,206025,206025,33,0,0,True
1115,0 1 3 4 6 10,6,47,6663168,2958336,3704832,-6663168,336853,668428,-331575,33,0,0,True
1116,2 3 4 6 10,5,36,5041152,2417664,2623488,-5041152,958866,479433,479433,33,0,0,True
1117,0 2 3 4 6 10,6,44,6116352,2423808,3692544,-6116352,883669,941836,-58167,33,0,0,True
1118,1 2 3 4 6 10,6,44,6362112,3406848,2955264,-6362112,637909,818956,-181047,33,0,0,True
1119,0 1 2 3 4 6 10,7,52,7437312,3142656,4294656,-7437312,562712,281356,281356,33,0,0,True
1120,5 6 10,3,18,2684928,2371584,313344,-2684928,315081,657542,-342461,33,0,0,True
1121,0 5 6 10,4,26,3760128,2783232,976896,-3760128,239884,119942,119942,33,0,0,True
1122,1 5 6 10,4,26,4005888,3028992,976896,-4005888,994127,997065,-2938,33,0,0,True
1123,0 1 5 6 10,5,34,5081088,3170304,1910784,-5081088,918930,459465,459465,33,0,0,True
1124,2 5 6 10,4,23,3459072,2482176,976896,-3459072,540940,270470,270470,33,0,0,True
1125,0 2 5 6 10,5,31,4534272,2746368,1787904,-4534272,465743,732873,-267130,33,0,0,True
1126,1 2 5 6 10,5,31,4780032,3139584,1640448,-4780032,219983,609993,-390010,33,0,0,True
1127,0 1 2 5 6 10,6,39,5855232,3133440,2721792,-5855232,144786,72393,72393,33,0,0,True
1128,3 5 6 10,4,28,3876864,2678784,1198080,-3876864,123148,61574,61574,33,0,0,True
1129,0 3 5 6 10,5,36,4952064,2832384,2119680,-4952064,47951,523977,-476026,33,0,0,True
1130,1 3 5 6 10,5,36,5197824,2684928,2512896,-5197824,802194,401097,401097,33,0,0,True
1131,0 1 3 5 6 10,6,44,6273024,2568192,3704832,-6273024,726997,863500,-136503,33,0,0,True
1132,2 3 5 6 10,5,33,4651008,3010560,1640448,-4651008,349007,674505,-325498,33,0,0,True
1133,0 2 3 5 6 10,6,41,5726208,3016704,2709504,-5726208,273810,136905,136905,33,0,0,True
1134,1 2 3 5 6 10,6,41,5971968,3016704,2955264,-5971968,28050,14025,14025,33,0,0,True
1135,0 1 2 3 5 6 10,7,49,7047168,2752512,4294656,-7047168,952856,476428,476428,33,0,0,True
1136,4 5 6 10,4,26,3766272,2863104,903168,-3766272,233740,116870,116870,33,0,0,True
1137,0 4 5 6 10,5,34,4841472,3127296,1714176,-4841472,158543,579273,-420730,33,0,0,True
1138,1 4 5 6 10,5,34,5087232,2979840,2107392,-5087232,912786,456393,456393,33,0,0,True
1139,0 1 4 5 6 10,6,42,6162432,2973696,3188736,-6162432,837589,918796,-81207,33,0,0,True
1140,2 4 5 6 10,5,31,4540416,2973696,1566720,-4540416,459599,729801,-270202,33,0,0,True
1141,0 2 4 5 6 10,6,39,5615616,3090432,2525184,-5615616,384402,192201,192201,33,0,0,True
1142,1 2 4 5 6 10,6,39,5861376,3090432,2770944,-5861376,138642,69321,69321,33,0,0,True
1143,0 1 2 4 5 6 10,7,47,6936576,2936832,3999744,-6936576,63445,531724,-468279,33,0,0,True
1144,3 4 5 6 10,5,36,4958208,2482176,2476032,-4958208,41807,520905,-479098,33,0,0,True
1145,0 3 4 5 6 10,6,44,6033408,2783232,3250176,-6033408,966613,983308,-16695,33,0,0,True
1146,1 3 4 5 6 10,6,44,6279168,3028992,3250176,-6279168,720853,860428,-139575,33,0,0,True
1147,0 1 3 4 5 6 10,7,52,7354368,3059712,4294656,-7354368,645656,322828,322828,33,0,0,True
1148,2 3 4 5 6 10,6,41,5732352,2813952,2918400,-5732352,267666,133833,133833,33,0,0,True
1149,0 2 3 4 5 6 10,7,49,6807552,2967552,3840000,-6807552,192469,596236,-403767,33,0,0,True
1150,1 2 3 4 5 6 10,7,49,7053312,3360768,3692544,-7053312,946712,473356,473356,33,0,0,True
1151,0 1 2 3 4 5 6 10,8,57,8128512,3244032,4884480,-8128512,871515,935759,-64244,33,0,0,True
1152,7 10,2,13,2159616,2159616,0,-2159616,840393,920198,-79805,33,0,0,True
1153,0 7 10,3,21,3234816,2608128,626688,-3234816,765196,382598,382598,33,0,0,True
1154,1 7 10,3,21,3480576,2128896,1351680,-3480576,519436,259718,259718,33,0,0,True
1155,0 1 7 10,4,29,4555776,2896896,1658880,-4555776,444239,722121,-277882,33,0,0,True
1156,2 7 10,3,18,2933760,2712576,221184,-2933760,66249,533126,-466877,33,0,0,True
1157,0 2 7 10,4,26,4008960,2128896,1880064,-4008960,991055,995529,-4474,33,0,0,True
1158,1 2 7 10,4,26,4254720,2681856,1572864,-4254720,745295,872649,-127354,33,0,0,True
1159,0 1 2 7 10,5,34,5329920,2417664,2912256,-5329920,670098,335049,335049,33,0,0,True
1160,3 7 10,3,23,3351552,1963008,1388544,-3351552,648460,324230,324230,33,0,0,True
1161,0 3 7 10,4,31,4426752,2374656,2052096,-4426752,573263,786633,-213370,33,0,0,True
1162,1 3 7 10,4,31,4672512,2067456,2605056,-4672512,327503,663753,-336250,33,0,0,True
1163,0 1 3 7 10,5,39,5747712,2798592,2949120,-5747712,252306,126153,126153,33,0,0,True
1164,2 3 7 10,4,28,4125696,2737152,1388544,-4125696,874319,937161,-62842,33,0,0,True
1165,0 2 3 7 10,5,36,5200896,2116608,3084288,-5200896,799122,399561,399561,33,0,0,True
1166,1 2 3 7 10,5,36,5446656,2841600,2605056,-5446656,553362,276681,276681,33,0,0,True
1167,0 1 2 3 7 10,6,44,6521856,2540544,3981312,-6521856,478165,739084,-260919,33,0,0,True
1168,4 7 10,3,21,3240960,2350080,890880,-3240960,759052,379526,379526,33,0,0,True
1169,0 4 7 10,4,29,4316160,2651136,1665024,-4316160,683855,841929,-158074,33,0,0,True
1170,1 4 7 10,4,29,4561920,2565120,1996800,-4561920,438095,719049,-280954,33,0,0,True
1171,0 1 4 7 10,5,37,5637120,3185664,2451456,-5637120,362898,181449,181449,33,0,0,True
1172,2 4 7 10,4,26,4015104,2903040,1112064,-4015104,984911,992457,-7546,33,0,0,True
1173,0 2 4 7 10,5,34,5090304,2171904,2918400,-5090304,909714,454857,454857,33,0,0,True
1174,1 2 4 7 10,5,34,5336064,3118080,2217984,-5336064,663954,331977,331977,33,0,0,True
1175,0 1 2 4 7 10,6,42,6411264,2706432,3704832,-6411264,588757,794380,-205623,33,0,0,True
1176,3 4 7 10,4,31,4432896,2251776,2181120,-4432896,567119,783561,-216442,33,0,0,True
1177,0 3 4 7 10,5,39,5508096,2810880,2697216,-5508096,491922,245961,245961,33,0,0,True
1178,1 3 4 7 10,5,39,5753856,2110464,3643392,-5753856,246162,123081,123081,33,0,0,True
1179,0 1 3 4 7 10,6,47,6829056,2989056,3840000,-6829056,170965,585484,-414519,33,0,0,True
1180,2 3 4 7 10,5,36,5207040,3025920,2181120,-5207040,792978,396489,396489,33,0,0,True
1181,0 2 3 4 7 10,6,44,6282240,2552832,3729408,-6282240,717781,858892,-141111,33,0,0,True
1182,1 2 3 4 7 10,6,44,6528000,2884608,3643392,-6528000,472021,736012,-263991,33,0,0,True
1183,0 1 2 3 4 7 10,7,52,7603200,2731008,4872192,-7603200,396824,198412,198412,33,0,0,True
1184,5 7 10,3,18,2850816,2353152,497664,-2850816,149193,574598,-425405,33,0,0,True
1185,0 5 7 10,4,26,3926016,2654208,1271808,-3926016,73996,36998,36998,33,0,0,True
1186,1 5 7 10,4,26,4171776,2764800,1406976,-4171776,828239,914121,-85882,33,0,0,True
1187,0 1 5 7 10,5,34,5246976,3385344,1861632,-5246976,753042,376521,376521,33,0,0,True
1188,2 5 7 10,4,23,3624960,2906112,718848,-3624960,375052,187526,187526,33,0,0,True
1189,0 2 5 7 10,5,31,4700160,2174976,2525184,-4700160,299855,649929,-350074,33,0,0,True
1190,1 2 5 7 10,5,31,4945920,3317760,1628160,-4945920,54095,527049,-472954,33,0,0,True
1191,0 1 2 5 7 10,6,39,6021120,2906112,3115008,-6021120,978901,989452,-10551,33,0,0,True
1192,3 5 7 10,4,28,4042752,2451456,1591296,-4042752,957263,978633,-21370,33,0,0,True
1193,0 3 5 7 10,5,36,5117952,3010560,2107392,-5117952,882066,441033,441033,33,0,0,True
1194,1 3 5 7 10,5,36,5363712,2113536,3250176,-5363712,636306,318153,318153,33,0,0,True
1195,0 1 3 5 7 10,6,44,6438912,2992128,3446784,-6438912,561109,780556,-219447,33,0,0,True
1196,2 3 5 7 10,5,33,4816896,3225600,1591296,-4816896,183119,591561,-408442,33,0,0,True
1197,0 2 3 5 7 10,6,41,5892096,2752512,3139584,-5892096,107922,53961,53961,33,0,0,True
1198,1 2 3 5 7 10,6,41,6137856,2887680,3250176,-6137856,862165,931084,-68919,33,0,0,True
1199,0 1 2 3 5 7 10,7,49,7213056,2734080,4478976,-7213056,786968,393484,393484,33,0,0,True
1200,4 5 7 10,4,26,3932160,2746368,1185792,-3932160,67852,33926,33926,33,0,0,True
1201,0 4 5 7 10,5,34,5007360,3194880,1812480,-5007360,992658,496329,496329,33,0,0,True
1202,1 4 5 7 10,5,34,5253120,2519040,2734080,-5253120,746898,373449,373449,33,0,0,True
1203,0 1 4 5 7 10,6,42,6328320,3287040,3041280,-6328320,671701,835852,-164151,33,0,0,True
1204,2 4 5 7 10,5,31,4706304,3299328,1406976,-4706304,293711,646857,-353146,33,0,0,True
1205,0 2 4 5 7 10,6,39,5781504,2715648,3065856,-5781504,218514,109257,109257,33,0,0,True
1206,1 2 4 5 7 10,6,39,6027264,3072000,2955264,-6027264,972757,986380,-13623,33,0,0,True
1207,0 1 2 4 5 7 10,7,47,7102464,2807808,4294656,-7102464,897560,448780,448780,33,0,0,True
1208,3 4 5 7 10,5,36,5124096,2353152,2770944,-5124096,875922,437961,437961,33,0,0,True
1209,0 3 4 5 7 10,6,44,6199296,2764800,3434496,-6199296,800725,900364,-99639,33,0,0,True
1210,1 3 4 5 7 10,6,44,6445056,2654208,3790848,-6445056,554965,777484,-222519,33,0,0,True
1211,0 1 3 4 5 7 10,7,52,7520256,3385344,4134912,-7520256,479768,239884,239884,33,0,0,True
1212,2 3 4 5 7 10,6,41,5898240,3127296,2770944,-5898240,101778,50889,50889,33,0,0,True
1213,0 2 3 4 5 7 10,7,49,6973440,2506752,4466688,-6973440,26581,513292,-486711,33,0,0,True
1214,1 2 3 4 5 7 10,7,49,7219200,3428352,3790848,-7219200,780824,390412,390412,33,0,0,True
1215,0 1 2 3 4 5 7 10,8,57,8294400,3127296,5167104,-8294400,705627,852815,-147188,33,0,0,True
1216,6 7 10,3,18,3062784,2731008,331776,-3062784,937228,468614,468614,33,0,0,True
1217,0 6 7 10,4,26,4137984,2921472,1216512,-4137984,862031,931017,-68986,33,0,0,True
1218,1 6 7 10,4,26,4383744,2921472,1462272,-4383744,616271,808137,-191866,33,0,0,True
1219,0 1 6 7 10,5,34,5458944,2989056,2469888,-5458944,541074,270537,270537,33,0,0,True
1220,2 6 7 10,4,23,3836928,2841600,995328,-3836928,163084,81542,81542,33,0,0,True
1221,0 2 6 7 10,5,31,4912128,2884608,2027520,-4912128,87887,543945,-456058,33,0,0,True
1222,1 2 6 7 10,5,31,5157888,3032064,2125824,-5157888,842130,421065,421065,33,0,0,True
1223,0 1 2 6 7 10,6,39,6233088,2952192,3280896,-6233088,766933,883468,-116535,33,0,0,True
1224,3 6 7 10,4,28,4254720,2497536,1757184,-4254720,745295,872649,-127354,33,0,0,True
1225,0 3 6 7 10,5,36,5329920,2724864,2605056,-5329920,670098,335049,335049,33,0,0,True
1226,1 3 6 7 10,5,36,5575680,2823168,2752512,-5575680,424338,212169,212169,33,0,0,True
1227,0 1 3 6 7 10,6,44,6650880,2927616,3723264,-6650880,349141,674572,-325431,33,0,0,True
1228,2 3 6 7 10,5,33,5028864,2829312,2199552,-5028864,971154,485577,485577,33,0,0,True
1229,0 2 3 6 7 10,6,41,6104064,2909184,3194880,-6104064,895957,947980,-52023,33,0,0,True
