shell,profile_id,rank,grid_F,grid_log_r,grid_log_s,first_size,second_size,rest_size
12,4512,1,1.7763568394002505e-15,0.5,0.5,15,9,0
12,4513,2,1.7763568394002505e-15,0.5,0.5,15,9,0
12,4514,3,1.7763568394002505e-15,0.5,0.5,15,9,0
12,3966,4,1.7763568394002505e-15,0.5,0.5,11,13,0
12,3965,5,1.7763568394002505e-15,0.5,0.5,11,13,0
12,3964,6,1.7763568394002505e-15,0.5,0.5,11,13,0
12,3190,7,1.7763568394002505e-15,0.5,0.5,9,15,0
12,3191,8,1.7763568394002505e-15,0.5,0.5,9,15,0
12,4353,9,1.7763568394002505e-15,0.5,0.5,13,11,0
12,4354,10,1.7763568394002505e-15,0.5,0.5,13,11,0
12,4355,11,1.7763568394002505e-15,0.5,0.5,13,11,0
12,3192,12,1.7763568394002505e-15,0.5,0.5,9,15,0
12,1535,13,0.0,0.0,0.0,7,3,14
12,1534,14,0.0,0.0,0.0,7,3,14
12,1533,15,0.0,0.0,0.0,7,2,15
12,1529,16,0.0,0.0,0.0,7,2,15
12,1536,17,0.0,0.0,0.0,7,3,14
12,1537,18,0.0,0.0,0.0,7,3,14
12,1532,19,0.0,0.0,0.0,7,2,15
12,1531,20,0.0,0.0,0.0,7,2,15
12,1530,21,0.0,0.0,0.0,7,2,15
12,1538,22,0.0,0.0,0.0,7,3,14
12,1539,23,0.0,0.0,0.0,7,3,14
12,1541,24,0.0,0.0,0.0,7,3,14
12,1511,25,0.0,0.0,0.0,6,15,3
12,1512,26,0.0,0.0,0.0,6,16,2
12,1513,27,0.0,0.0,0.0,6,16,2
12,1514,28,0.0,0.0,0.0,6,16,2
12,1515,29,0.0,0.0,0.0,6,16,2
12,1516,30,0.0,0.0,0.0,6,16,2
12,1517,31,0.0,0.0,0.0,6,17,1
12,1518,32,0.0,0.0,0.0,6,17,1
12,1540,33,0.0,0.0,0.0,7,3,14
12,1520,34,0.0,-12.0,-12.0,6,18,0
12,1521,35,0.0,-12.0,-12.0,6,18,0
12,1522,36,0.0,0.0,-12.0,7,0,17
12,1523,37,0.0,0.0,-12.0,7,0,17
12,1524,38,0.0,0.0,0.0,7,1,16
12,1525,39,0.0,0.0,0.0,7,1,16
12,1526,40,0.0,0.0,0.0,7,1,16
16,4512,1,1.7763568394002505e-15,0.5,0.5,15,9,0
16,4513,2,1.7763568394002505e-15,0.5,0.5,15,9,0
16,4514,3,1.7763568394002505e-15,0.5,0.5,15,9,0
16,3966,4,1.7763568394002505e-15,0.5,0.5,11,13,0
16,3965,5,1.7763568394002505e-15,0.5,0.5,11,13,0
16,3964,6,1.7763568394002505e-15,0.5,0.5,11,13,0
16,3190,7,1.7763568394002505e-15,0.5,0.5,9,15,0
16,3191,8,1.7763568394002505e-15,0.5,0.5,9,15,0
16,4353,9,1.7763568394002505e-15,0.5,0.5,13,11,0
16,4354,10,1.7763568394002505e-15,0.5,0.5,13,11,0
16,4355,11,1.7763568394002505e-15,0.5,0.5,13,11,0
16,3192,12,1.7763568394002505e-15,0.5,0.5,9,15,0
16,1535,13,0.0,0.0,0.0,7,3,14
16,1534,14,0.0,0.0,0.0,7,3,14
16,1533,15,0.0,0.0,0.0,7,2,15
16,1529,16,0.0,0.0,0.0,7,2,15
16,1536,17,0.0,0.0,0.0,7,3,14
16,1537,18,0.0,0.0,0.0,7,3,14
16,1532,19,0.0,0.0,0.0,7,2,15
16,1531,20,0.0,0.0,0.0,7,2,15
16,1530,21,0.0,0.0,0.0,7,2,15
16,1538,22,0.0,0.0,0.0,7,3,14
16,1539,23,0.0,0.0,0.0,7,3,14
16,1541,24,0.0,0.0,0.0,7,3,14
16,1511,25,0.0,0.0,0.0,6,15,3
16,1512,26,0.0,0.0,0.0,6,16,2
16,1513,27,0.0,0.0,0.0,6,16,2
16,1514,28,0.0,0.0,0.0,6,16,2
16,1515,29,0.0,0.0,0.0,6,16,2
16,1516,30,0.0,0.0,0.0,6,16,2
16,1517,31,0.0,0.0,0.0,6,17,1
16,1518,32,0.0,0.0,0.0,6,17,1
16,1540,33,0.0,0.0,0.0,7,3,14
16,1520,34,0.0,-12.0,-12.0,6,18,0
16,1521,35,0.0,-12.0,-12.0,6,18,0
16,1522,36,0.0,0.0,-12.0,7,0,17
16,1523,37,0.0,0.0,-12.0,7,0,17
16,1524,38,0.0,0.0,0.0,7,1,16
16,1525,39,0.0,0.0,0.0,7,1,16
16,1526,40,0.0,0.0,0.0,7,1,16
