shell,profiles,grid_points,max_grid_F,max_profile_id,max_log_r,max_log_s,counterexample_grid
12,4612,1089,1.7763568394002505e-15,3190,0.5,0.5,False
16,4612,1089,1.7763568394002505e-15,3190,0.5,0.5,False
