return_path_id,x2_cell_edge_id,origin_carrier_mask_class_id,detour_carrier_mask_class_id,return_cell_edge_id,return_negative_carrier_mask_class_id,x2_shared_symbol_bitset,x2_single_flag,return_shared_symbol_bitset,return_shared_symbol_count,clean_single_x2_return_flag,mixed_x2_return_flag,node42_realization_flag
0,14,12,3,10,7,4,1,1,1,1,0,1
1,14,12,3,11,8,4,1,2,1,1,0,1
2,39,12,10,34,9,36,0,32,1,0,1,1
3,39,12,10,40,13,36,0,32,1,0,1,1
4,41,12,11,28,7,36,0,1,1,0,1,1
5,41,12,11,31,8,36,0,2,1,0,1,1
6,41,12,11,35,9,36,0,32,1,0,1,1
7,41,12,11,42,13,36,0,32,1,0,1,1
