observable_id,observable_code,value_x1e12,aux_id
0,0,10,0
1,1,13,0
2,2,4,0
3,3,1,0
4,4,8,0
5,5,8,0
6,6,2,0
7,7,6,0
8,8,1,0
9,9,3,0
10,10,2,0
11,11,2,0
12,12,12,0
13,13,4,0
14,14,4,0
15,15,8,0
