detour_edge_id,cell_edge_id,source_detour_node_rank,target_detour_node_rank,source_carrier_mask_class_id,target_carrier_mask_class_id,edge_role_code,edge_partition_code,is_positive_negative_boundary,shared_atom_bitset,shared_symbol_bitset,shared_symbol_count,x2_shared_flag,single_x2_flag,mixed_x2_x5_flag
0,18,1,0,4,12,2,5,1,2048,8,1,0,0,0
1,9,2,0,2,12,0,1,0,128,4,1,1,1,0
2,14,3,0,3,12,0,1,0,128,4,1,1,1,0
3,39,4,0,10,12,0,1,0,524416,36,2,1,0,1
4,41,5,0,11,12,0,1,0,524416,36,2,1,0,1
5,10,3,6,3,7,1,5,1,2,1,1,0,0,0
6,11,3,7,3,8,1,5,1,16,2,1,0,0,0
7,34,8,4,9,10,1,5,1,524288,32,1,0,0,0
8,40,4,9,10,13,1,5,1,524288,32,1,0,0,0
9,28,6,5,7,11,1,5,1,2,1,1,0,0,0
10,31,7,5,8,11,1,5,1,16,2,1,0,0,0
11,35,8,5,9,11,1,5,1,524288,32,1,0,0,0
12,42,5,9,11,13,1,5,1,524288,32,1,0,0,0
