family_id,family_code,law_count,basis_count,forced_count,profunctor_controlled_count,external_input_count,dependency_edge_count,violation_count,carrier_arrow_code,readout_arrow_code,comparison_arrow_code
0,0,80,72,8,80,0,72,0,4,-1,5
1,1,3,2,1,3,0,2,0,2,-1,5
2,2,16,0,16,8,8,80,0,5,6,-1
3,3,48,0,48,24,24,240,0,5,7,-1
4,4,144,0,144,72,72,384,0,5,8,-1
5,5,15,0,15,7,8,30,0,7,9,-1
