invalid_id,encoded_transcript_id,within_one_byte_flag,public_row_present_flag,reject_flag
0,56,1,0,1
1,57,1,0,1
2,58,1,0,1
3,59,1,0,1
4,60,1,0,1
5,61,1,0,1
6,62,1,0,1
7,63,1,0,1
8,64,1,0,1
9,65,1,0,1
10,66,1,0,1
11,67,1,0,1
12,68,1,0,1
13,69,1,0,1
14,70,1,0,1
15,71,1,0,1
16,72,1,0,1
17,73,1,0,1
18,74,1,0,1
19,75,1,0,1
20,76,1,0,1
21,77,1,0,1
22,78,1,0,1
23,79,1,0,1
24,80,1,0,1
25,81,1,0,1
26,82,1,0,1
27,83,1,0,1
28,84,1,0,1
29,85,1,0,1
30,86,1,0,1
31,87,1,0,1
32,88,1,0,1
33,89,1,0,1
34,90,1,0,1
35,91,1,0,1
36,92,1,0,1
37,93,1,0,1
38,94,1,0,1
39,95,1,0,1
40,96,1,0,1
41,97,1,0,1
42,98,1,0,1
43,99,1,0,1
44,100,1,0,1
45,101,1,0,1
46,102,1,0,1
47,103,1,0,1
48,104,1,0,1
49,105,1,0,1
50,106,1,0,1
51,107,1,0,1
52,108,1,0,1
53,109,1,0,1
54,110,1,0,1
55,111,1,0,1
56,112,1,0,1
57,113,1,0,1
58,114,1,0,1
59,115,1,0,1
60,116,1,0,1
61,117,1,0,1
62,118,1,0,1
63,119,1,0,1
64,120,1,0,1
65,121,1,0,1
66,122,1,0,1
67,123,1,0,1
68,124,1,0,1
69,125,1,0,1
70,126,1,0,1
71,127,1,0,1
72,128,1,0,1
73,129,1,0,1
74,130,1,0,1
75,131,1,0,1
76,132,1,0,1
77,133,1,0,1
78,134,1,0,1
79,135,1,0,1
80,136,1,0,1
81,137,1,0,1
82,138,1,0,1
83,139,1,0,1
84,140,1,0,1
85,141,1,0,1
86,142,1,0,1
87,143,1,0,1
88,144,1,0,1
89,145,1,0,1
90,146,1,0,1
91,147,1,0,1
92,148,1,0,1
93,149,1,0,1
94,150,1,0,1
95,151,1,0,1
96,152,1,0,1
97,153,1,0,1
98,154,1,0,1
99,155,1,0,1
100,156,1,0,1
101,157,1,0,1
102,158,1,0,1
103,159,1,0,1
104,160,1,0,1
105,161,1,0,1
106,162,1,0,1
107,163,1,0,1
108,164,1,0,1
109,165,1,0,1
110,166,1,0,1
111,167,1,0,1
112,168,1,0,1
113,169,1,0,1
114,170,1,0,1
115,171,1,0,1
116,172,1,0,1
117,173,1,0,1
118,174,1,0,1
119,175,1,0,1
120,176,1,0,1
121,177,1,0,1
122,178,1,0,1
123,179,1,0,1
124,180,1,0,1
125,181,1,0,1
126,182,1,0,1
127,183,1,0,1
128,184,1,0,1
129,185,1,0,1
130,186,1,0,1
131,187,1,0,1
132,188,1,0,1
133,189,1,0,1
134,190,1,0,1
135,191,1,0,1
136,192,1,0,1
137,193,1,0,1
138,194,1,0,1
139,195,1,0,1
140,196,1,0,1
141,197,1,0,1
142,198,1,0,1
143,199,1,0,1
144,200,1,0,1
145,201,1,0,1
146,202,1,0,1
147,203,1,0,1
148,204,1,0,1
149,205,1,0,1
150,206,1,0,1
151,207,1,0,1
152,208,1,0,1
153,209,1,0,1
154,210,1,0,1
155,211,1,0,1
156,212,1,0,1
157,213,1,0,1
158,214,1,0,1
159,215,1,0,1
160,216,1,0,1
161,217,1,0,1
162,218,1,0,1
163,219,1,0,1
164,220,1,0,1
165,221,1,0,1
166,222,1,0,1
167,223,1,0,1
168,224,1,0,1
169,225,1,0,1
170,226,1,0,1
171,227,1,0,1
172,228,1,0,1
173,229,1,0,1
174,230,1,0,1
175,231,1,0,1
176,232,1,0,1
177,233,1,0,1
178,234,1,0,1
179,235,1,0,1
180,236,1,0,1
181,237,1,0,1
182,238,1,0,1
183,239,1,0,1
184,240,1,0,1
185,241,1,0,1
186,242,1,0,1
187,243,1,0,1
188,244,1,0,1
189,245,1,0,1
190,246,1,0,1
191,247,1,0,1
192,248,1,0,1
193,249,1,0,1
194,250,1,0,1
195,251,1,0,1
196,252,1,0,1
197,253,1,0,1
198,254,1,0,1
199,255,1,0,1
