center_id,center_code,support_state_count,support_mass_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12,distance_to_cut_center_x1e12,distance_to_promoted_cut_center_x1e12,distance_to_left_boundary_x1e12,distance_to_gate_x1e12,distance_to_right_boundary_x1e12
0,0,794,1000000000000,60312974186,1858169836,60341591000,0,196518833000,205642834000,276856087000,133061873000,97993795000
1,-1,200,116772097781,-309176263800,-757007388,309177191000,760060897000,600111742000,583777666000,870385669000,723782694000,781937851000
2,1,594,883227902219,109163370917,2203924006,109185616000,98430578000,285954361000,297275670000,273795357000,192594929000,128101509000
3,2,0,0,-24633024750,50889647250,56537970000,196518833000,0,17302382000,287542759000,123672556000,269224739000
4,3,0,0,-24633024750,50889647250,56537970000,196518833000,0,17302382000,287542759000,123672556000,269224739000
5,4,0,0,-32092090000,46561889300,56550082000,205642834000,17302382000,0,304758407000,140177969000,273764193000
