side_flow_id,spectral_side_code,state_count,promoted_window_state_count,promoted_only_state_count,weighted_volume,stationary_mass_x1e12,cut_edge_count,cut_weight,cut_flux_x1e12,old_cut_edge_count,old_cut_flux_x1e12,promoted_cut_edge_count,promoted_cut_flux_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12
0,-1,200,22,6,1366,116772097781,6,6,1025816382,6,1025816382,5,854846985,-309176263800,-757007388,309177191000,760060897000
1,1,594,51,1,10332,883227902219,6,6,1025816382,6,1025816382,5,854846985,109163370917,2203924006,109185616000,98430578000
