transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
0,0,1,1,0,1,0,0,1,0,0,170969397,166666666667,142857142858,512908189,598392888
1,0,5,1,0,1,0,0,1,0,0,170969397,166666666667,142857142858,512908189,598392888
2,0,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
3,0,30,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
4,0,33,1,0,1,0,0,1,0,0,170969397,166666666666,200000000000,512908189,427423491
5,0,61,1,0,1,0,0,1,0,0,170969397,166666666666,250000000000,512908189,341938793
6,1,3,1,0,1,0,0,1,0,0,170969397,142857142857,166666666667,598392888,512908189
7,1,19,1,0,1,0,0,1,0,0,170969397,142857142857,27777777778,598392888,3077449137
8,1,28,1,0,1,0,0,1,0,0,170969397,142857142857,250000000000,598392888,341938793
9,1,31,1,0,1,0,0,1,0,0,170969397,142857142857,100000000000,598392888,854846982
10,1,32,1,0,1,0,0,1,0,0,170969397,142857142857,125000000000,598392888,683877586
11,1,35,1,0,1,0,0,1,0,0,170969397,142857142857,125000000000,598392888,683877586
12,2,3,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
13,2,4,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
14,2,7,1,0,1,0,0,1,0,0,170969397,200000000000,90909090910,427423491,940331681
15,2,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
16,2,34,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
17,3,5,1,0,1,0,0,1,0,0,170969397,166666666667,142857142857,512908189,598392888
18,3,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
19,3,27,1,0,1,0,0,1,0,0,170969397,166666666666,111111111112,512908189,769362284
20,3,35,1,0,1,0,0,1,0,0,170969397,166666666666,125000000000,512908189,683877586
21,4,5,1,0,1,0,0,1,0,0,170969397,166666666667,142857142857,512908189,598392888
22,4,7,1,0,1,0,0,1,0,0,170969397,166666666667,90909090909,512908189,940331681
23,4,9,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
24,4,19,1,0,1,0,0,1,0,0,170969397,166666666666,27777777778,512908189,3077449137
25,4,36,1,0,1,0,0,1,0,0,170969397,166666666666,125000000000,512908189,683877586
26,5,19,1,0,1,0,0,1,0,0,170969397,142857142857,27777777778,598392888,3077449137
27,5,27,1,0,1,0,0,1,0,0,170969397,142857142857,111111111111,598392888,769362284
28,5,30,1,0,1,0,0,1,0,0,170969397,142857142857,200000000000,598392888,427423491
29,5,37,1,0,1,0,0,1,0,0,170969397,142857142857,125000000000,598392888,683877586
30,6,7,1,0,1,0,0,1,0,0,170969397,200000000000,90909090909,427423491,940331681
31,6,8,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
32,6,11,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
33,6,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
34,6,38,1,0,1,0,0,1,0,0,170969397,200000000000,142857142858,427423491,598392888
35,7,8,1,0,1,0,0,1,0,0,170969397,90909090909,166666666667,940331681,512908189
36,7,12,1,0,1,0,0,1,0,0,170969397,90909090909,200000000000,940331681,427423491
37,7,19,1,0,1,0,0,1,0,0,170969397,90909090909,27777777778,940331681,3077449137
38,7,29,1,0,1,0,0,1,0,0,170969397,90909090909,166666666667,940331681,512908189
39,7,31,1,0,1,0,0,1,0,0,170969397,90909090909,100000000000,940331681,854846982
40,7,36,1,0,1,0,0,1,0,0,170969397,90909090909,125000000000,940331681,683877586
41,7,39,1,0,1,0,0,1,0,0,170969397,90909090909,90909090910,940331681,940331681
42,7,64,1,0,1,0,0,1,0,0,170969397,90909090909,125000000000,940331681,683877586
43,8,9,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
44,8,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
45,8,24,1,0,1,0,0,1,0,0,170969397,166666666666,142857142858,512908189,598392888
46,8,40,1,0,1,0,0,1,0,0,170969397,166666666666,125000000000,512908189,683877586
47,9,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
48,9,27,1,0,1,0,0,1,0,0,170969397,200000000000,111111111111,427423491,769362284
49,9,41,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
50,10,11,1,0,1,0,0,1,0,0,170969397,166666666667,166666666667,512908189,512908189
51,10,12,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
52,10,13,1,0,1,0,0,1,0,0,170969397,166666666667,125000000000,512908189,683877586
53,10,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
54,10,26,1,0,1,0,0,1,0,0,170969397,166666666666,166666666667,512908189,512908189
55,10,42,1,0,1,0,0,1,0,0,170969397,166666666666,142857142858,512908189,598392888
56,11,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
57,11,24,1,0,1,0,0,1,0,0,170969397,166666666667,142857142857,512908189,598392888
58,11,27,1,0,1,0,0,1,0,0,170969397,166666666666,111111111111,512908189,769362284
59,11,43,1,0,1,0,0,1,0,0,170969397,166666666666,142857142858,512908189,598392888
60,12,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
61,12,26,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
62,12,44,1,0,1,0,0,1,0,0,170969397,200000000000,142857142858,427423491,598392888
63,13,14,1,0,1,0,0,1,0,0,170969397,125000000000,166666666667,683877586,512908189
64,13,16,1,0,1,0,0,1,0,0,170969397,125000000000,200000000000,683877586,427423491
65,13,18,1,0,1,0,0,1,0,0,170969397,125000000000,200000000000,683877586,427423491
66,13,19,1,0,1,0,0,1,0,0,170969397,125000000000,27777777778,683877586,3077449137
67,13,24,1,0,1,0,0,1,0,0,170969397,125000000000,142857142857,683877586,598392888
68,13,25,1,0,1,1,0,1,0,0,170969397,125000000000,166666666667,683877586,512908189
69,13,45,1,0,1,0,0,1,0,0,170969397,125000000000,111111111112,683877586,769362284
70,14,15,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
71,14,19,1,0,1,0,0,1,0,0,170969397,166666666667,27777777778,512908189,3077449137
72,14,22,1,0,1,0,0,1,0,0,170969397,166666666667,200000000000,512908189,427423491
73,14,23,1,0,1,0,0,1,0,0,170969397,166666666666,166666666667,512908189,512908189
74,14,46,1,0,1,0,0,1,0,0,170969397,166666666666,142857142858,512908189,598392888
75,15,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
76,15,22,1,0,1,0,0,1,0,0,170969397,200000000000,200000000000,427423491,427423491
77,15,23,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
78,15,47,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
79,16,18,1,0,1,0,0,1,0,0,170969397,200000000000,200000000000,427423491,427423491
80,16,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
81,16,48,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
82,16,91,1,0,1,0,0,1,0,0,170969397,200000000000,333333333334,427423491,256454095
83,17,19,1,0,1,0,0,1,0,0,170969397,333333333334,27777777778,256454095,3077449137
84,17,49,1,0,1,0,0,1,0,0,170969397,333333333333,250000000000,256454095,341938793
85,17,92,1,0,1,0,0,1,0,0,170969397,333333333333,333333333334,256454095,256454095
86,18,19,1,0,1,0,0,1,0,0,170969397,200000000000,27777777778,427423491,3077449137
87,18,21,1,0,1,0,0,1,0,0,170969397,200000000000,200000000000,427423491,427423491
88,18,50,1,0,1,0,0,1,0,0,170969397,200000000000,166666666667,427423491,512908189
89,19,20,1,0,1,0,0,1,0,0,170969397,27777777778,333333333334,3077449137,256454095
90,19,21,1,0,1,0,0,1,0,0,170969397,27777777778,200000000000,3077449137,427423491
91,19,22,1,0,1,0,0,1,0,0,170969397,27777777778,200000000000,3077449137,427423491
92,19,23,1,0,1,0,0,1,0,0,170969397,27777777778,166666666667,3077449137,512908189
93,19,24,1,0,1,0,0,1,0,0,170969397,27777777778,142857142857,3077449137,598392888
94,19,25,1,0,1,1,0,1,0,0,170969397,27777777778,166666666667,3077449137,512908189
95,19,26,1,0,1,0,0,1,0,0,170969397,27777777778,166666666667,3077449137,512908189
96,19,27,1,0,1,0,0,1,0,0,170969397,27777777778,111111111111,3077449137,769362284
97,19,28,1,0,1,0,0,1,0,0,170969397,27777777778,250000000000,3077449137,341938793
