observable_id,observable_code,value
0,0,1
1,1,1
2,2,1
3,3,1
4,4,0
5,5,5
6,6,3
7,7,24
8,8,1
9,9,1
10,10,1331525
11,11,8
12,12,1331525
13,13,1
14,14,2
15,15,1
16,16,1
17,17,1
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
