wire_id,transcript_id,selected_opening_id,residual_class_code,selector_value_mod,transcript_index_bytes,opening_index_bytes,residual_code_bytes,selector_bytes,wire_row_bytes,table_index_dependency_flag,digest_free_wire_flag,wire_equivalence_claim_flag,external_improvement_claim_flag
0,0,5,27,5,1,1,1,1,4,1,1,0,0
1,1,10,11,0,1,1,1,1,4,1,1,0,0
2,2,11,45,0,1,1,1,1,4,1,1,0,0
3,3,12,26,0,1,1,1,1,4,1,1,0,0
4,4,13,38,0,1,1,1,1,4,1,1,0,0
5,5,14,42,0,1,1,1,1,4,1,1,0,0
6,6,15,41,0,1,1,1,1,4,1,1,0,0
7,7,16,44,0,1,1,1,1,4,1,1,0,0
8,8,17,36,0,1,1,1,1,4,1,1,0,0
9,9,18,25,0,1,1,1,1,4,1,1,0,0
10,10,20,7,1,1,1,1,1,4,1,1,0,0
11,11,21,52,0,1,1,1,1,4,1,1,0,0
12,12,23,37,0,1,1,1,1,4,1,1,0,0
13,13,25,40,0,1,1,1,1,4,1,1,0,0
14,14,28,1,1,1,1,1,1,4,1,1,0,0
15,15,30,23,1,1,1,1,1,4,1,1,0,0
16,16,31,3,0,1,1,1,1,4,1,1,0,0
17,17,33,43,0,1,1,1,1,4,1,1,0,0
18,18,35,8,0,1,1,1,1,4,1,1,0,0
19,19,36,31,0,1,1,1,1,4,1,1,0,0
20,20,37,10,0,1,1,1,1,4,1,1,0,0
21,21,40,18,1,1,1,1,1,4,1,1,0,0
22,22,41,34,0,1,1,1,1,4,1,1,0,0
23,23,44,13,1,1,1,1,1,4,1,1,0,0
24,24,45,50,0,1,1,1,1,4,1,1,0,0
25,25,47,15,0,1,1,1,1,4,1,1,0,0
26,26,49,17,1,1,1,1,1,4,1,1,0,0
27,27,50,21,0,1,1,1,1,4,1,1,0,0
28,28,52,29,0,1,1,1,1,4,1,1,0,0
29,29,53,12,0,1,1,1,1,4,1,1,0,0
30,30,54,2,0,1,1,1,1,4,1,1,0,0
31,31,55,24,0,1,1,1,1,4,1,1,0,0
32,32,56,47,0,1,1,1,1,4,1,1,0,0
33,33,57,54,0,1,1,1,1,4,1,1,0,0
34,34,58,55,0,1,1,1,1,4,1,1,0,0
35,35,60,22,0,1,1,1,1,4,1,1,0,0
36,36,61,51,0,1,1,1,1,4,1,1,0,0
37,37,62,48,0,1,1,1,1,4,1,1,0,0
38,38,63,33,0,1,1,1,1,4,1,1,0,0
39,39,65,32,1,1,1,1,1,4,1,1,0,0
40,40,66,30,0,1,1,1,1,4,1,1,0,0
41,41,68,6,0,1,1,1,1,4,1,1,0,0
42,42,70,9,0,1,1,1,1,4,1,1,0,0
43,43,72,46,0,1,1,1,1,4,1,1,0,0
44,44,73,53,0,1,1,1,1,4,1,1,0,0
45,45,76,4,1,1,1,1,1,4,1,1,0,0
46,46,77,16,0,1,1,1,1,4,1,1,0,0
47,47,79,14,0,1,1,1,1,4,1,1,0,0
48,48,80,35,0,1,1,1,1,4,1,1,0,0
49,49,82,0,1,1,1,1,1,4,1,1,0,0
50,50,83,5,0,1,1,1,1,4,1,1,0,0
51,51,85,19,0,1,1,1,1,4,1,1,0,0
52,52,86,49,0,1,1,1,1,4,1,1,0,0
53,53,88,20,1,1,1,1,1,4,1,1,0,0
54,54,89,28,0,1,1,1,1,4,1,1,0,0
55,55,90,39,0,1,1,1,1,4,1,1,0,0
