invariant,value,status,source
frat_bundle_files,21,PRESENT,external_solver_evidence_bundle_strong_cadical_frat/external_evidence_manifest.json
CaDiCaL_FRAT_runs_UNSAT,5/5,WITNESSED,external_solver_evidence_bundle_strong_cadical_frat/*.stdout.txt
solver_stderr_empty,5/5,WITNESSED,external_solver_evidence_bundle_strong_cadical_frat/*.stderr.txt
standalone_FRAT_checker_found,false,BLOCKED,audit/frat_verification_status.json
extracted_LRAT_proofs_verified,5/5,VERIFIED,audit/frat_extracted_lrat_verification_summary.csv
extracted_LRAT_events,44,EVIDENCE_PRESENT,audit/extracted_lrat_analysis/external_analysis.json
extracted_LRAT_routes,5,EVIDENCE_PRESENT,audit/extracted_lrat_analysis/external_analysis.json
extracted_LRAT_rank_F2,4,EVIDENCE_PRESENT,audit/extracted_lrat_analysis/external_analysis.json
extracted_LRAT_rank_F3,4,EVIDENCE_PRESENT,audit/extracted_lrat_analysis/external_analysis.json
extracted_LRAT_rank_F5,4,EVIDENCE_PRESENT,audit/extracted_lrat_analysis/external_analysis.json
full_FRAT_legacy_route_rank,blocked,BLOCKED_ROUTE_EXPLOSION,audit/full_frat_external_analysis_status.json
cvx_FRAT_events,214,C_PUBLIC_FRAT_SURFACE_TRACE,audit/cvx_frat_surface_route_audit.json
cvx_FRAT_C_steps,214,C_PUBLIC_FRAT_SURFACE_TRACE,audit/cvx_frat_surface_route_audit.json
cvx_FRAT_X_steps,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
cvx_FRAT_red_flags,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
