extension_object_id,object_role_code,long_prof_object_code,long_univ_node_code,address_count,baseline_address_count,address_delta,existing_prof_flag,long_univ_flag,formal_extension_flag
0,0,7,7,8,8,0,1,1,0
1,1,8,8,80,80,0,1,1,0
2,2,-1,9,16,8,8,0,1,1
3,3,-1,10,288,80,208,0,1,1
