extension_arrow_id,arrow_role_code,profunctor_code,long_univ_arrow_code,source_code,target_code,source_count,target_count,support_entry_count,positive_entry_count,row_sum_one_count,existing_prof_flag,long_univ_flag,formal_extension_flag,conv_shadow_flag,anchor_row_count,added_row_count
0,0,7,4,7,8,8,80,80,80,8,1,1,0,0,80,0
1,1,-1,5,9,10,16,288,288,288,16,0,1,1,1,80,208
