psi,ratio,iterations,monotone,theta_std,cv_x,start_index,contained_blocks,support_size,complement_size,complement_mask,complement,shell,job_index
-0.9086778617529454,0.40305676867684115,22,True,2.3739402149611332e-14,2.3749865062474857e-14,1,616,22,2,6144,11 12,12,51
-0.9086778617529445,0.4030567686768415,22,True,1.7728307237033226e-14,1.7737528455652968e-14,1,616,22,2,526336,11 19,12,52
-0.9086778617529445,0.4030567686768415,2,True,5.876051778252483e-16,6.030054506389723e-16,0,616,22,2,4196352,11 22,12,53
-0.9086778617529436,0.40305676867684187,22,True,2.189002542091562e-14,2.1909635607498253e-14,1,616,22,2,2101248,12 21,12,54
-0.9086778617529454,0.40305676867684115,22,True,2.1598883555721385e-14,2.159719107002601e-14,1,616,22,2,139264,13 17,12,55
-0.9086778617529427,0.4030567686768422,23,True,6.481950876153396e-14,6.483498095906576e-14,3,616,22,2,2105344,13 21,12,56
-0.9086778617529445,0.4030567686768415,2,True,6.169942779926626e-16,6.312995352117187e-16,0,616,22,2,278528,14 18,12,57
-0.9086778617529427,0.4030567686768422,22,True,3.30749654844525e-14,3.306691382740863e-14,1,616,22,2,163840,15 17,12,58
-0.9086778617529419,0.4030567686768426,22,True,2.6393485328812815e-14,2.6403163909562665e-14,1,616,22,2,655360,17 19,12,59
-0.9086778617529427,0.4030567686768422,23,True,5.923637877116976e-14,5.924845711157085e-14,2,616,22,2,4325376,17 22,12,60
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,7,0 1 2,12,61
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,4101,0 2 12,12,62
-1.4180151283078564,0.24219426466419886,21,True,3.205294239996689e-14,3.207116427872325e-14,1,280,21,3,2129921,0 15 21,12,63
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,2359297,0 18 21,12,64
-1.4180151283078573,0.24219426466419866,24,True,3.529458499598574e-14,3.530628501261509e-14,2,280,21,3,134,1 2 7,12,65
-1.4180151283078581,0.24219426466419844,21,True,3.557102889768827e-14,3.5589272288402026e-14,1,280,21,3,4194338,1 5 22,12,66
-1.4180151283078564,0.24219426466419886,2,True,5.1925927263190304e-17,7.850462293418872e-17,0,280,21,3,2129922,1 15 21,12,67
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,140,2 3 7,12,68
-1.4180151283078573,0.24219426466419866,23,True,2.053538580126224e-14,2.0517710491214714e-14,2,280,21,3,8204,2 3 13,12,69
-1.4180151283078573,0.24219426466419866,22,True,4.0403994897948186e-14,4.0380206918921464e-14,2,280,21,3,524356,2 6 19,12,70
-1.4180151283078564,0.24219426466419886,2,True,7.809467432050822e-17,1.0134903240813527e-16,0,280,21,3,65668,2 7 16,12,71
-1.4180151283078555,0.24219426466419908,22,True,4.677823507580084e-14,4.677406627601609e-14,2,280,21,3,6152,3 11 12,12,72
-1.4180151283078564,0.24219426466419886,21,True,2.7223132331906815e-14,2.7215187566736804e-14,1,280,21,3,20488,3 12 14,12,73
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,6.409875621278545e-17,0,280,21,3,10485768,3 21 23,12,74
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,16464,4 6 14,12,75
-1.4180151283078573,0.24219426466419866,21,True,3.089627164580033e-14,3.090524040108862e-14,1,280,21,3,2576,4 9 11,12,76
-1.4180151283078555,0.24219426466419908,21,True,3.368150346501326e-14,3.366591527422081e-14,1,280,21,3,8389136,4 9 23,12,77
-1.4180151283078564,0.24219426466419886,21,True,2.3536921777493737e-14,2.3526339308873364e-14,1,280,21,3,81936,4 14 16,12,78
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,6.409875621278545e-17,0,280,21,3,589840,4 16 19,12,79
-1.4180151283078546,0.2421942646641993,23,True,2.859035142167172e-14,2.85931827701175e-14,2,280,21,3,4456464,4 18 22,12,80
-1.4180151283078564,0.24219426466419886,21,True,2.2869190766253498e-14,2.2875264671618646e-14,1,280,21,3,264224,5 11 18,12,81
-1.4180151283078555,0.24219426466419908,24,True,2.173156997372907e-14,2.1724656233223996e-14,3,280,21,3,448,6 7 8,12,82
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,33088,6 8 15,12,83
-1.4180151283078564,0.24219426466419886,2,True,5.1925927263190304e-17,7.850462293418872e-17,0,280,21,3,2097728,6 9 21,12,84
-1.4180151283078564,0.24219426466419886,2,True,6.257841124211592e-17,1.0134903240813527e-16,0,280,21,3,264256,6 11 18,12,85
-1.4180151283078555,0.24219426466419908,21,True,4.763845141981031e-14,4.7636244670684986e-14,1,280,21,3,8390720,6 11 23,12,86
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,327808,7 16 18,12,87
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,5243008,7 20 22,12,88
-1.4180151283078564,0.24219426466419886,2,True,5.1925927263190304e-17,7.850462293418872e-17,0,280,21,3,2099456,8 11 21,12,89
-1.4180151283078564,0.24219426466419886,2,True,5.1925927263190304e-17,7.850462293418872e-17,0,280,21,3,557568,9 15 19,12,90
-1.4180151283078564,0.24219426466419886,21,True,3.211758172737304e-14,3.212831466373924e-14,1,280,21,3,533504,10 13 19,12,91
-1.4180151283078555,0.24219426466419908,21,True,2.0650811981164527e-14,2.0657956146399207e-14,1,280,21,3,8429568,13 15 23,12,92
-1.4180151283078564,0.24219426466419886,2,True,5.492986661377096e-17,1.0134903240813527e-16,0,280,21,3,2367488,13 18 21,12,93
-1.4180151283078564,0.24219426466419886,2,True,3.671717528720129e-17,7.850462293418872e-17,0,280,21,3,2629632,13 19 21,12,94
-1.4180151283078564,0.24219426466419886,2,True,5.1925927263190304e-17,7.850462293418872e-17,0,280,21,3,12615680,15 22 23,12,95
-1.4180151283078564,0.24219426466419886,2,True,6.359601310784502e-17,7.850462293418872e-17,0,280,21,3,14680064,21 22 23,12,96
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,15,0 1 2 3,12,97
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,24593,0 4 13 14,12,98
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1114625,0 9 16 20,12,99
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,170,1 3 5 7,12,100
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,24586,1 3 13 14,12,101
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1218,1 6 7 10,12,102
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,8393218,1 9 12 23,12,103
-1.9725720036784669,0.13909863354037316,23,True,1.7268082630198747e-14,1.7290156810304737e-14,2,120,20,4,197634,1 10 16 17,12,104
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,3149826,1 12 20 21,12,105
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,9175042,1 18 19 23,12,106
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,65580,2 3 5 16,12,107
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,65804,2 3 8 16,12,108
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,131268,2 6 7 17,12,109
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,525828,2 9 10 19,12,110
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,132136,3 5 10 17,12,111
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,3145992,3 8 20 21,12,112
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,2363400,3 12 18 21,12,113
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1048688,4 5 6 20,12,114
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1328,4 5 8 10,12,115
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,196656,4 5 16 17,12,116
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,278800,4 8 14 18,12,117
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,303120,4 13 15 18,12,118
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1065056,5 6 14 20,12,119
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,37408,5 9 12 15,12,120
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,71712,5 11 12 16,12,121
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,2170912,5 13 16 21,12,122
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,4268064,5 13 16 22,12,123
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,262848,6 7 9 18,12,124
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,37952,6 10 12 15,12,125
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,1051008,7 8 11 20,12,126
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,4206720,7 12 13 22,12,127
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,5308544,7 16 20 22,12,128
-1.9725720036784669,0.13909863354037316,2,True,2.7755575615628914e-17,0.0,0,120,20,4,1605888,8 15 19 20,12,129
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,12845568,9 18 22 23,12,130
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,2123776,11 13 14 21,12,131
-1.9725720036784677,0.13909863354037305,2,True,1.3877787807814457e-17,2.026980648162706e-16,0,120,20,4,7405568,16 20 21 22,12,132
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329595,0.011897041439518858,0,48,19,5,31,0 1 2 3 4,12,133
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329593,0.011897041439518856,0,48,19,5,788485,0 2 11 18 19,12,134
-2.5793922472935193,0.07582006987577672,22,True,0.011766736595329591,0.011897041439518813,1,48,19,5,1609,0 3 6 9 10,12,135
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329615,0.011897041439518858,0,48,19,5,2825,0 3 8 9 11,12,136
-2.579392247293522,0.07582006987577652,22,True,0.011766736595329586,0.011897041439518828,1,48,19,5,4358153,0 3 15 17 22,12,137
-2.579392247293521,0.07582006987577658,21,True,0.011766736595329603,0.011897041439518813,1,48,19,5,2101345,0 5 6 12 21,12,138
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329626,0.011897041439518858,0,48,19,5,2114593,0 5 10 14 21,12,139
-2.579392247293523,0.07582006987577646,24,True,0.011766736595329586,0.011897041439518806,2,48,19,5,2103329,0 5 11 12 21,12,140
-2.579392247293521,0.07582006987577658,2,True,0.01176673659532962,0.011897041439518787,0,48,19,5,7340545,0 9 20 21 22,12,141
-2.579392247293521,0.07582006987577658,27,True,0.011766736595329591,0.01189704143951878,4,48,19,5,1572906,1 3 5 19 20,12,142
-2.579392247293522,0.07582006987577652,22,True,0.011766736595329605,0.011897041439518806,1,48,19,5,2625546,1 3 12 19 21,12,143
-2.579392247293524,0.07582006987577639,2,True,0.011766736595329579,0.011897041439518809,0,48,19,5,8519778,1 5 6 17 23,12,144
-2.579392247293523,0.07582006987577646,2,True,0.011766736595329607,0.011897041439518818,0,48,19,5,1049282,1 6 7 9 20,12,145
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329579,0.011897041439518762,0,48,19,5,4229250,1 7 11 15 22,12,146
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329614,0.011897041439518835,0,48,19,5,721154,1 8 16 17 19,12,147
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329591,0.011897041439518766,0,48,19,5,8438274,1 9 14 15 23,12,148
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329626,0.011897041439518858,0,48,19,5,4755458,1 12 15 19 22,12,149
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329591,0.011897041439518766,0,48,19,5,4227460,2 7 8 15 22,12,150
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329598,0.011897041439518759,0,48,19,5,360580,2 7 15 16 18,12,151
-2.579392247293522,0.07582006987577652,22,True,0.01176673659532961,0.011897041439518823,1,48,19,5,5767428,2 8 19 20 22,12,152
-2.579392247293522,0.07582006987577652,24,True,0.01176673659532961,0.011897041439518807,2,48,19,5,42500,2 9 10 13 15,12,153
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329605,0.011897041439518856,0,48,19,5,530948,2 9 11 12 19,12,154
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329593,0.011897041439518767,0,48,19,5,8552964,2 9 15 17 23,12,155
-2.579392247293521,0.07582006987577658,23,True,0.011766736595329588,0.011897041439518821,2,48,19,5,8668164,2 10 14 18 23,12,156
-2.5793922472935193,0.07582006987577672,21,True,0.011766736595329586,0.011897041439518787,1,48,19,5,4229160,3 5 11 15 22,12,157
-2.579392247293521,0.07582006987577658,2,True,0.011766736595329605,0.011897041439518823,0,48,19,5,2623528,3 5 11 19 21,12,158
-2.579392247293524,0.07582006987577639,2,True,0.011766736595329574,0.011897041439518833,0,48,19,5,2392592,4 9 15 18 21,12,159
-2.579392247293522,0.07582006987577652,2,True,0.011766736595329626,0.011897041439518858,0,48,19,5,11567136,5 15 20 21 23,12,160
-2.5793922472935193,0.07582006987577672,25,True,0.011766736595329598,0.01189704143951883,2,48,19,5,1313920,7 10 11 18 20,12,161
-2.579392247293524,0.07582006987577639,2,True,0.011766736595329601,0.011897041439518833,0,48,19,5,287872,7 10 13 14 18,12,162
-2.579392247293521,0.07582006987577658,2,True,0.01176673659532958,0.011897041439518766,0,48,19,5,12589184,7 11 12 22 23,12,163
-2.579392247293521,0.07582006987577658,25,True,0.011766736595329607,0.01189704143951882,4,48,19,5,680064,7 13 14 17 19,12,164
-2.5793922472935202,0.07582006987577665,22,True,0.011766736595329593,0.011897041439518797,1,48,19,5,6685696,10 17 18 21 22,12,165
-2.5793922472935202,0.07582006987577665,22,True,0.011766736595329605,0.011897041439518837,1,48,19,5,1353728,11 13 15 18 20,12,166
-2.579392247293522,0.07582006987577652,21,True,0.011766736595329607,0.011897041439518792,1,48,19,5,6825984,11 13 19 21 22,12,167
-2.5793922472935202,0.07582006987577665,2,True,0.011766736595329591,0.01189704143951879,0,48,19,5,11603968,12 16 20 21 23,12,168
1.7763568394002505e-15,1.0000000000000018,20,True,1.642923706928152e-14,1.641147231969238e-14,3,759,24,0,0,,16,169
-0.7581353733177396,0.4685392638126128,2,True,2.7167265525510135e-16,4.275920361596572e-16,0,253,23,1,1,0,16,170
-0.7581353733177396,0.4685392638126128,2,True,2.7214902190692946e-16,2.830524433501838e-16,0,253,23,1,2,1,16,171
-0.7581353733177387,0.46853926381261324,17,True,2.9423698003231533e-14,2.940984075260416e-14,1,253,23,1,4,2,16,172
-0.7581353733177396,0.4685392638126128,2,True,2.7214902190692946e-16,2.830524433501838e-16,0,253,23,1,8,3,16,173
-0.7581353733177387,0.46853926381261324,17,True,3.80335962602829e-14,3.803892609026369e-14,1,253,23,1,16,4,16,174
-0.7581353733177396,0.4685392638126128,2,True,2.7214902190692946e-16,2.830524433501838e-16,0,253,23,1,32,5,16,175
-0.7581353733177378,0.4685392638126136,19,True,6.591646478620322e-15,6.6071485584007655e-15,3,253,23,1,64,6,16,176
-0.7581353733177396,0.4685392638126128,2,True,2.7214902190692946e-16,2.830524433501838e-16,0,253,23,1,128,7,16,177
-0.7581353733177396,0.4685392638126128,2,True,3.0205074227520926e-16,3.2368285245694683e-16,0,253,23,1,256,8,16,178
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,512,9,16,179
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,1024,10,16,180
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,2048,11,16,181
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,4096,12,16,182
-0.7581353733177396,0.4685392638126128,2,True,2.990259707340837e-16,4.2276033262255756e-16,0,253,23,1,8192,13,16,183
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,16384,14,16,184
-0.7581353733177396,0.4685392638126128,2,True,3.0111365352366457e-16,4.370952418903846e-16,0,253,23,1,32768,15,16,185
-0.7581353733177423,0.4685392638126116,17,True,3.0193400685878827e-14,3.0209628879359876e-14,1,253,23,1,65536,16,16,186
-0.7581353733177405,0.4685392638126124,17,True,2.4135302201463456e-14,2.4145457802410494e-14,1,253,23,1,131072,17,16,187
-0.7581353733177378,0.4685392638126136,17,True,2.843823175069395e-14,2.8427816446530387e-14,1,253,23,1,262144,18,16,188
-0.7581353733177387,0.46853926381261324,17,True,3.902657840475337e-14,3.9011084402277356e-14,1,253,23,1,524288,19,16,189
-0.7581353733177396,0.4685392638126128,18,True,1.2838025088400622e-14,1.2836166039835131e-14,4,253,23,1,1048576,20,16,190
-0.758135373317737,0.46853926381261407,22,True,9.590121531392936e-15,9.51494166171055e-15,2,253,23,1,2097152,21,16,191
-0.7581353733177387,0.46853926381261324,20,True,1.2339014480145474e-14,1.2330974798504373e-14,4,253,23,1,4194304,22,16,192
-0.7581353733177405,0.4685392638126124,17,True,2.9978879693319994e-14,2.998386758477062e-14,1,253,23,1,8388608,23,16,193
-1.592105339624907,0.20349673069183877,17,True,6.06761321967739e-15,6.0746888724523535e-15,1,77,22,2,3,0 1,16,194
-1.5921053396249052,0.20349673069183913,18,True,2.616938795202943e-14,2.6165643034708352e-14,4,77,22,2,5,0 2,16,195
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,9,0 3,16,196
-1.5921053396249034,0.2034967306918395,16,True,2.6207146396872636e-14,2.6201145772518478e-14,1,77,22,2,17,0 4,16,197
-1.5921053396249052,0.20349673069183913,17,True,2.959349476988919e-14,2.9614180332693104e-14,2,77,22,2,33,0 5,16,198
-1.5921053396249105,0.20349673069183805,2,True,4.34342712935016e-17,1.9756563518549472e-16,0,77,22,2,65,0 6,16,199
-1.5921053396249052,0.20349673069183913,16,True,3.455908232432888e-14,3.45793927942093e-14,1,77,22,2,129,0 7,16,200
-1.5921053396249008,0.20349673069184002,21,True,1.5958055248300813e-14,1.595582722888065e-14,4,77,22,2,257,0 8,16,201
-1.5921053396249052,0.20349673069183913,16,True,3.1664708872830963e-14,3.16919899034913e-14,1,77,22,2,513,0 9,16,202
-1.5921053396249043,0.2034967306918393,16,True,3.021669876139262e-14,3.0207656747301015e-14,1,77,22,2,1025,0 10,16,203
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,2049,0 11,16,204
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,4097,0 12,16,205
-1.5921053396249052,0.20349673069183913,16,True,2.658762462822116e-14,2.6549461859772893e-14,1,77,22,2,8193,0 13,16,206
-1.5921053396249052,0.20349673069183913,17,True,8.582485766904327e-15,8.59090739061904e-15,4,77,22,2,16385,0 14,16,207
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,32769,0 15,16,208
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,65537,0 16,16,209
-1.592105339624907,0.20349673069183877,2,True,3.002807657932862e-17,2.125915238862714e-16,0,77,22,2,131073,0 17,16,210
-1.592105339624906,0.20349673069183893,18,True,1.2080912205096406e-14,1.209888431736885e-14,3,77,22,2,262145,0 18,16,211
