psi,ratio,iterations,monotone,theta_std,cv_x,start_index,contained_blocks,support_size,complement_size,complement_mask,complement,shell,job_index
2.6645352591003757e-15,1.0000000000000027,26,True,3.303276936036944e-14,3.301573650680724e-14,3,2576,24,0,0,,12,0
-0.43778949404716805,0.6454616420751873,2,True,1.0858045968637194e-15,1.1111478253058159e-15,0,1288,23,1,1,0,12,1
-0.43778949404716805,0.6454616420751873,2,True,1.0805206614470454e-15,1.137640067256873e-15,0,1288,23,1,2,1,12,2
-0.43778949404716805,0.6454616420751873,24,True,2.5550656410802744e-14,2.553002042031974e-14,2,1288,23,1,4,2,12,3
-0.43778949404716805,0.6454616420751873,27,True,2.3994076549138608e-14,2.401274925035722e-14,3,1288,23,1,8,3,12,4
-0.43778949404716894,0.6454616420751867,22,True,6.354973704734625e-14,6.355778748206141e-14,1,1288,23,1,16,4,12,5
-0.43778949404716805,0.6454616420751873,25,True,4.825134711407913e-14,4.826040434464892e-14,4,1288,23,1,32,5,12,6
-0.43778949404716805,0.6454616420751873,25,True,1.812183796019505e-14,1.8130206005275622e-14,3,1288,23,1,64,6,12,7
-0.43778949404716894,0.6454616420751867,22,True,6.795140281048818e-14,6.796551048870097e-14,1,1288,23,1,128,7,12,8
-0.43778949404716716,0.6454616420751879,23,True,2.0759213509796997e-14,2.0772200595456396e-14,1,1288,23,1,256,8,12,9
-0.43778949404716894,0.6454616420751867,22,True,5.885276298333735e-14,5.88448750847901e-14,1,1288,23,1,512,9,12,10
-0.43778949404716627,0.6454616420751885,24,True,3.7489865773852844e-14,3.746337885961898e-14,2,1288,23,1,1024,10,12,11
-0.43778949404716805,0.6454616420751873,22,True,6.237177454646408e-14,6.236888031939774e-14,1,1288,23,1,2048,11,12,12
-0.43778949404716805,0.6454616420751873,2,True,1.0825781600915409e-15,1.137640067256873e-15,0,1288,23,1,4096,12,12,13
-0.43778949404716627,0.6454616420751885,23,True,2.2608408620885718e-14,2.261914235426273e-14,1,1288,23,1,8192,13,12,14
-0.43778949404716805,0.6454616420751873,2,True,1.0836885123205637e-15,1.137640067256873e-15,0,1288,23,1,16384,14,12,15
-0.43778949404716805,0.6454616420751873,2,True,1.0781044422727624e-15,1.1285750616986416e-15,0,1288,23,1,32768,15,12,16
-0.43778949404716716,0.6454616420751879,22,True,6.087049737069203e-14,6.088985427108662e-14,1,1288,23,1,65536,16,12,17
-0.43778949404716716,0.6454616420751879,23,True,1.7672713139485044e-14,1.7665052036375566e-14,1,1288,23,1,131072,17,12,18
-0.43778949404716627,0.6454616420751885,22,True,6.226424247517819e-14,6.226924470405873e-14,1,1288,23,1,262144,18,12,19
-0.4377894940471654,0.6454616420751891,23,True,1.7931883519717557e-14,1.7946850487241772e-14,1,1288,23,1,524288,19,12,20
-0.43778949404716716,0.6454616420751879,22,True,6.404494526947334e-14,6.403682291847862e-14,1,1288,23,1,1048576,20,12,21
-0.43778949404716716,0.6454616420751879,28,True,1.9920140443807676e-14,1.991976494153906e-14,4,1288,23,1,2097152,21,12,22
-0.43778949404716716,0.6454616420751879,25,True,3.4899144178138245e-14,3.489257463978959e-14,3,1288,23,1,4194304,22,12,23
-0.43778949404716716,0.6454616420751879,25,True,4.0392953522823924e-14,4.0373516359958645e-14,3,1288,23,1,8388608,23,12,24
-0.9086778617529445,0.4030567686768415,22,True,2.333314087815266e-14,2.3321158918868788e-14,1,616,22,2,3,0 1,12,25
-0.9086778617529445,0.4030567686768415,22,True,6.218432334031833e-14,6.21800721363664e-14,3,616,22,2,9,0 3,12,26
-0.9086778617529445,0.4030567686768415,2,True,5.989742138396045e-16,6.064026913267588e-16,0,616,22,2,32769,0 15,12,27
-0.9086778617529419,0.4030567686768426,27,True,1.5884604648905074e-14,1.5835506587971127e-14,2,616,22,2,2097153,0 21,12,28
-0.9086778617529445,0.4030567686768415,2,True,5.942641627239266e-16,6.047064566997142e-16,0,616,22,2,258,1 8,12,29
-0.9086778617529445,0.4030567686768415,22,True,3.7026817605818007e-14,3.703696355726275e-14,2,616,22,2,1048578,1 20,12,30
-0.9086778617529463,0.40305676867684076,22,True,2.875970699896821e-14,2.874995353603943e-14,1,616,22,2,2097154,1 21,12,31
-0.9086778617529427,0.4030567686768422,22,True,2.23404743472752e-14,2.2335404523224e-14,1,616,22,2,8196,2 13,12,32
-0.9086778617529436,0.40305676867684187,22,True,2.583138702318849e-14,2.5817201426157873e-14,1,616,22,2,16388,2 14,12,33
-0.9086778617529445,0.4030567686768415,2,True,5.952944539307933e-16,6.064026913267588e-16,0,616,22,2,8200,3 13,12,34
-0.9086778617529436,0.40305676867684187,22,True,3.078952873701968e-14,3.077935240893333e-14,1,616,22,2,144,4 7,12,35
-0.9086778617529445,0.4030567686768415,22,True,2.1469462726446594e-14,2.1487811427333063e-14,1,616,22,2,65552,4 16,12,36
-0.9086778617529436,0.40305676867684187,24,True,5.531594907689912e-14,5.5275673079256895e-14,3,616,22,2,2097168,4 21,12,37
-0.9086778617529436,0.40305676867684187,23,True,5.81855555045296e-14,5.817914700627838e-14,3,616,22,2,288,5 8,12,38
-0.9086778617529427,0.4030567686768422,24,True,6.556199473472052e-14,6.556525759912253e-14,4,616,22,2,2080,5 11,12,39
-0.9086778617529436,0.40305676867684187,22,True,2.8051055047272768e-14,2.8063398838108317e-14,1,616,22,2,524320,5 19,12,40
-0.9086778617529454,0.40305676867684115,22,True,2.086473480947215e-14,2.0857916496592848e-14,1,616,22,2,262208,6 18,12,41
-0.9086778617529436,0.40305676867684187,22,True,1.9345366389019522e-14,1.93422178912247e-14,1,616,22,2,524416,7 19,12,42
-0.9086778617529445,0.4030567686768415,2,True,5.865016789473754e-16,6.012996326510579e-16,0,616,22,2,1280,8 10,12,43
-0.9086778617529436,0.40305676867684187,28,True,3.225577716631834e-14,3.226625955417012e-14,4,616,22,2,4352,8 12,12,44
-0.9086778617529436,0.40305676867684187,23,True,2.950125516548434e-14,2.951697265406091e-14,2,616,22,2,131328,8 17,12,45
-0.9086778617529445,0.4030567686768415,23,True,4.4052497694885664e-14,4.402980377261933e-14,2,616,22,2,2097408,8 21,12,46
-0.9086778617529454,0.40305676867684115,2,True,5.971353358377076e-16,6.064026913267588e-16,0,616,22,2,8704,9 13,12,47
-0.9086778617529427,0.4030567686768422,22,True,2.728686219292485e-14,2.7287067130606176e-14,1,616,22,2,524800,9 19,12,48
-0.9086778617529436,0.40305676867684187,22,True,1.8602235319693754e-14,1.8604933137338304e-14,1,616,22,2,8389120,9 23,12,49
-0.9086778617529445,0.4030567686768415,2,True,5.894849242231154e-16,6.012996326510579e-16,0,616,22,2,525312,10 19,12,50
