observable_id,observable_code,value,scale_code
0,0,144,0
1,1,32,0
2,2,76,0
3,3,70300,0
4,4,218618940,0
5,5,11213312,0
6,6,10515968,0
7,7,2601984,0
8,8,2447744,0
9,9,1815040,0
10,10,7982592,0
11,11,1164096,0
12,12,1,0
13,13,1,0
14,14,1,0
15,15,3121,0
16,16,15,0
17,17,39,0
18,18,49,0
19,19,9237,0
20,20,11947,0
21,21,0,0
22,22,4068820,0
23,23,4068820,0
24,24,21230492,0
25,25,6,0
26,26,12,0
27,27,19,0
28,28,29,0
29,29,94,0
30,30,96,0
31,31,2644672,0
32,32,25917422,0
33,33,2644672,0
34,34,25917422,0
